year,program,artist,appearances,song,tags,type,origin,associated_acts,members,MB_Producers,MB_MemberOf,Wiki_Summary,spotify_followers,spotify_popularity,artist_category
2015,NHK紅白歌合戦,AAA,6.0,恋音と雨空,J-POP,Group,Japan,,,情報なし,"後藤友香里, 伊藤千晃, 浦田直也, 與真司郎, Nissy, SKY‐HI, 末吉秀太, 宇野実彩子, a-nation’s party","AAA, aaa",756.0,16.0,その他
2015,NHK紅白歌合戦,AKB48,8.0,AKB48 紅白2015 SP 〜10周年記念メドレー〜[※ 13],J-POP,女性グループ,日本,"秋元康, （総合プロデューサー）, AKB48グループ","メンバー, を参照",情報なし,"宇佐美友紀, 折井あゆみ, 星野みちる, 渡邊志穂, 増山加弥乃, 駒谷仁美, 中西里菜, 成田梨紗, 大江朝美, 戸島花, 川崎希, 大島麻衣, 浦野一美, 佐藤由加理, 平嶋夏海, 前田敦子, 峯岸みなみ, 篠田麻里子, 板野友美, 高橋みなみ, 小嶋陽菜, 上村彩子, 今井優, 高田彩奈, 早野薫, 野呂佳代, 大堀恵, 小野恵令奈, 奥真奈美, 佐藤夏希, 増田有華, 河西智美, 宮澤佐江, 松原夏海, 秋元才加, 梅田彩佳, 大島優子, 小林香菜, 早野薫, 藤島マリアチカ, 堀江聖夏, 磯怜奈, 大塚亜季, 坂田涼, 井上奈瑠, 早乙女美樹, 松岡由紀, 野口玲菜, 米沢瑠美, 仲川遥香, 多田愛佳, 仲谷明香, 菊地あやか, 片山陽加, 田名部生来, 渡辺麻友, 柏木由紀, 飯沼友里奈, 金子智美, 小塚里菜, 渡辺茉莉絵, 吉岡沙葵, 出口陽, 中西優香, 中田ちさと, 鈴木菜絵, 瓜屋茜, 成瀬理沙, 佐伯美香, 村中聡美, 藤本紗羅, 大家志津香, 佐藤亜美菜, 藤江れいな, 倉持明日香, 山田みずき, 有馬優茄, 畑山亜梨紗, 冨田麻友, 小原春香, 中塚智実, 内田眞由美, 石田晴香, 宮崎美穂, 北原里英, 指原莉乃, 仁藤萌乃, 近野莉菜, 高城亜樹, 西澤沙羅, 野中美郷, 北原里英, 中田ちさと, 佐藤すみれ, 高城亜樹, 石黒莉美, 愛迫みゆ, 林あやの, 前田亜美, 鈴木まりや, 小森美果, 鈴木紫帆里, 松井咲子, 片野友里恵, 早乙女美樹, 近野莉菜, 小松瑞希, 西川七海, 浅居円, 石部郁, 石井彩夏, 郭グレース, 小水七海, 三木にこる, 坂本莉央, 杉山未来, 冨手麻妙, 今井悠理枝, 植木あさ香, 佐野友里子, 佐藤すみれ, 前田亜美, 伊藤彩夏, 石黒貴己, 絹本桃子, 高松恵理, 中村麻里子, 大場美奈, 島田晴香, 竹内美宥, 森杏奈, 山内鈴蘭, 永尾まりや, 島崎遥香, 横山由依, 藤田奈那, 加藤玲奈, 岩崎仁美, 小林茉里奈, 入山杏奈, 金沢有希, 阿部マリア, 伊豆田莉奈, 仲俣汐里, 市川美織, 豊田早姫, 岡﨑ちなみ, 川上麻里奈, 牛窪紗良, 山口菜有, 小嶋菜月, 川栄李奈, 名取稚菜, 岩佐美咲, 大家志津香, 森川彩香, 大場美奈, 中村麻里子, 島田晴香, 竹内美宥, 高橋朱里, 田野優花, 武藤十夢, 平田梨奈, 大森美優, 佐々木優佳里, 岩田華怜, 鈴木里香, サイード横田絵玲奈, 江口愛実, 阿部マリア, 長谷川晴奈, 森山さくら, 渡邊寧々, 光宗薫, 相笠萌, 岩立沙穂, 北澤早紀, 茂木忍, 岡田彩花, 高島祐利奈, 梅田綾乃, 大島涼花, 篠崎彩奈, 雨宮舞夏, 北汐莉, 村山彩希, 渡辺美優紀, 松井珠理奈, 田野優花, 高橋朱里, 橋本耀, 小嶋真子, 西野未姫, 岡田奈々, 内山奈月, 前田美月, 小嶋菜月, 伊豆田莉奈, 光宗薫, 石田安奈, 武藤十夢, 小谷里歩, 市川愛美, 大和田南那, 佐藤妃星, 土保瑞希, 湯本亜美, 峯岸みなみ, 古畑奈和, 矢倉楓子, 高城亜樹, 平田梨奈, 兒玉遥, 大森美優, 佐々木優佳里, 向井地美音, 野澤玲奈, 込山榛香, 高島祐利奈, 橋本耀, 内山奈月, 相笠萌, 梅田綾乃, 西野未姫, 岡田彩花, 小嶋真子, 峯岸みなみ, 岩立沙穂, 北澤早紀, 茂木忍, 村山彩希, 岡田奈々, 大川莉央, 達家真姫宝, 飯野雅, 西山怜那, 後藤萌咲, 川本紗矢, 下口ひなな, 田北香世子, 横島亜衿, 渋谷凪咲, 生駒里奈, 土保瑞希, 西山怜那, 山本彩, 小笠原茉由, 大和田南那, 横島亜衿, 木﨑ゆりあ, 宮脇咲良, 大川莉央, 田北香世子, 福岡聖菜, 市川愛美, 中西智代梨, 佐藤妃星, 下口ひなな, 達家真姫宝, 湯本亜美, 奥洞千捺, 森脇由衣, 藤村菜月, 岩﨑萌花, 山本亜依, 北玲名, 近藤萌恵里, 吉野未優, 福地礼奈, 谷優里, 濵松里緒菜, 阿部芽唯, 舞木香純, 廣瀬なつき, 早坂つむぎ, 下青木香鈴, 谷口もか, 長久玲奈, 横道侑里, 人見古都音, 中野郁海, 谷川聖, 佐藤栞, 山田菜々美, 佐藤七海, 本田仁美, 行天優莉奈, 濵咲友菜, 橋本陽菜, 左伴彩佳, 倉野尾成美, 宮里莉羅, 永野芹佳, 小田えりな, 小栗有以, 岡部麟, 大西桃香, 太田奈緒, 坂口渚沙, 佐藤朱, 清水麻璃亜, 下尾みう, 髙橋彩音, 高岡薫, 山本瑠香, 横山結衣, 吉川七瀬, 谷口めぐ, 小谷里歩, 渋谷凪咲, 塚本まり子, 服部有菜, 飯野雅, 佐伯美香, 高橋希良, 野村奈央, 山邊歩夢, 北川綾巴, 渡辺美優紀, 白間美瑠, 朝長美桜, 矢吹奈子, 吉田華恋, 千葉恵里, 樋渡結依, 久保怜音, 西川怜, 北川綾巴, 馬嘉伶, 馬嘉伶, 鈴木まりや, 野田陽菜乃, 寺田美咲, 歌田初夏, 野口菜々美, 浅井七海, 稲垣香織, 武藤小麟, 山内瑞葵, 安田叶, 庄司なぎさ, 梅本和泉, 長友彩海, 山根涼羽, 田屋美咲, 播磨七海, 黒須遥香, 道枝咲, 佐藤美波, 本間麻衣, 前田彩佳, 鈴木くるみ, 田口愛佳, 平野ひかる, 髙橋彩香, 山田杏華, 川原美咲, 奥本陽菜, 春本ゆき, 山邊歩夢, 奥原妃奈子, 森月音羽, 神山莉穂, 勝又彩央里, 古川夏凪, 本田そら, 石綿星南, 蔵本美結, 永野恵, 佐藤詩識, 末永祐月, 吉橋柚花, 浅井七海, 稲垣香織, 武藤小麟, 山内瑞葵, 安田叶, 伊藤きらら, 立仙愛理, 御供茉白, พิมรภัส ผดุงวัฒนะโชค, Stephanie Pricilla Indarto Putri, 藤園麗, 矢作萌夏, 長友彩海, 大盛真歩, 多田京加, 山根涼羽, 黒須遥香, 小林蘭, 岡田梨奈, 大竹ひとみ, 齋藤陽菜, 道枝咲, 佐藤美波, 鈴木優香, 長谷川新奈, 山﨑空, 新井彩永",AKB48（エーケービーフォーティーエイト）は、日本の女性アイドルグループ。秋元康のプロデュースにより、2005年に東京・秋葉原（東京都千代田区外神田）を拠点として活動を開始した。運営会社および所属事務所は株式会社DH[注釈 1]、所属レーベルはEMI Records（ユニバーサルミュージック）。AKB48グループにおいて最初に発足したグループである。結成から約20年間にわたり、現在も活動を継続している。チーム制は休止中である。,511629.0,59.0,女性グループ
2015,NHK紅白歌合戦,BUMP OF CHICKEN,1.0,ray[※ 15][※ 9],"インディー, ロック, オルタナティヴ, ロック, J-POP",Group,"日本, 千葉県, 佐倉市","MOR （, 音楽プロデューサー, ）","藤原基央, （, ボーカル, ギター, ）, 増川弘明, （ギター）, 直井由文, （, ベース, ）, 升秀夫, （, ドラムス, ）",情報なし,"藤原基央, 升秀夫, 増川弘明, 直井由文",BUMP OF CHICKEN（バンプ オブ チキン）は、日本のロックバンド。所属事務所はLONGFELLOW。レーベルはトイズファクトリー。略称は「バンプ（BUMP）」。,1454390.0,64.0,その他
2015,NHK紅白歌合戦,E-girls,3.0,Dance Dance Dance,"J-POP, EDM",Group,日本,,,情報なし,"Vini Lopez, David Sancious, David Sancious, David Sancious, Danny Federici, Danny Federici, Clarence Clemons, Garry Tallent, Ernest Carter, Roy Bittan, Roy Bittan, Roy Bittan, Max Weinberg, צרויה להב, Little Steven, Little Steven, Nils Lofgren, Patti Scialfa, Patti Scialfa, Soozie Tyrell, Soozie Tyrell, Charles Giordano, Charles Giordano, Charles Giordano, Jake Clemons, Jake Clemons, Anthony Almonte, Barry Danielian, Ada Dyer, Curtis King, Lisa Lowell, Ed Manion, Ozzie Melendez, Michelle Moore, Curt Ramm, The Asbury Park All‐Star Revue",E-girls（イー・ガールズ）は、日本の女性ダンス&ボーカルグループ。2011年から2020年まで活動していた。所属事務所はLDH JAPAN。レーベルはrhythm zone。,485371.0,48.0,女性グループ
2015,NHK紅白歌合戦,EXILE,11.0,EXILE 紅白スペシャル2015[※ 14],"J-POP, ダンス, ポップ, R&B, ヒップホップ",Group,日本,,"EXILE HIRO, 松本利夫, EXILE ÜSA, EXILE MAKIDAI, EXILE ATSUSHI, EXILE AKIRA, EXILE TAKAHIRO, 橘ケンチ, EXILE TETSUYA, EXILE NESMITH, EXILE SHOKICHI, EXILE NAOTO, 小林直己, 白濱亜嵐, 世界, 佐藤大樹",情報なし,"清木場俊介, HIRO, DJ MAKIDAI, EXILE ATSUSHI, MATSU, USA, AKIRA, 田﨑敬浩, EXILE SHOKICHI, KEIJI, KENCHI, NAOKI, NAOTO, NESMITH, TETSUYA, 岩田剛典, 佐藤大樹, 世界, 関口メンディー, 白濱亜嵐",EXILE（エグザイル）は、日本のダンス&ボーカルグループ。所属事務所はLDH JAPAN。レーベルはrhythm zone。,1073739.0,62.0,男性グループ
2015,NHK紅白歌合戦,MISIA,2.0,オルフェンズの涙[※ 20],"R&B, J-POP, ソウル, ジャズ",ソロ,"日本, 長崎県, 対馬市","鷺巣詩郎, 黒田卓也, エリカ, バドゥ, マーカス, ミラー, など",,情報なし,情報なし,概要なし,1326.0,31.0,女性ソロ
2015,NHK紅白歌合戦,NMB48,3.0,365日の紙飛行機,J-POP,女性グループ,日本,"秋元康, （プロデューサー）, 剱持嘉一, AKB48グループ","メンバー, を参照",情報なし,"山内彩花, 森彩華, 山口夕輝, 肥川彩愛, 川上礼奈, 木下百花, 太田里織菜, 山岸奈津美, 原みづき, 沖田彩華, 小柳有沙, 松田栞, 篠原栞那, 福本愛菜, 小笠原茉由, 中山菜々, 近藤里奈, 門脇佳奈子, 渡辺美優紀, 岸野里香, 木下春奈, 上西恵, 山本彩, 吉田朱里, 山田菜々, 小谷里歩, 白間美瑠, 山田菜々, 大谷莉子, 瀧山あかね, 藤田留奈, 小鷹狩佑香, 三田麻央, 村上文香, 村瀬紗英, 島田玲奈, 高野祐衣, 谷川愛梨, 矢倉楓子, 與儀ケイラ, 岡田梨紗子, 城恵理子, 東由樹, 山本ひとみ, 佐藤天彩, 古賀成美, 林萌々香, 中川紘美, 石田優美, 西澤瑠莉奈, 鵜野みずき, 山口夕輝, 小鷹狩佑香, 藤田留奈, 太田里織菜, 肥川彩愛, 矢倉楓子, 島田玲奈, 與儀ケイラ, 村上文香, 山岸奈津美, 高野祐衣, 木下百花, 三田麻央, 川上礼奈, 村瀬紗英, 谷川愛梨, 石川こころ, 佐々木七海, 赤澤萌乃, 井尻晏菜, 石塚朱莉, 上枝恵美加, 加藤夕夏, 小林莉加子, 河野早紀, 黒川葉月, 日下このみ, 久代梨奈, 室加奈子, 太田夢莉, 植田碧麗, 梅原真子, 薮下柊, 山内つばさ, 東郷青空, 杉本香乃, 久田莉子, 三浦亜莉沙, 高山梨子, 沖田彩華, 横山由依, 山本ひとみ, 小柳有沙, 東由樹, 梅原真子, 赤澤萌乃, 小林莉加子, 山内つばさ, 河野早紀, 室加奈子, 植田碧麗, 黒川葉月, 薮下柊, 上枝恵美加, 日下このみ, 井尻晏菜, 石塚朱莉, 加藤夕夏, 久代梨奈, 太田夢莉, 城恵理子, 廣瀬聖七, 杉野莉沙, 西村愛華, 石原雅子, 小川乃愛, 川上千尋, 嶋崎百萌香, 明石奈津子, 松村芽久未, 松岡知穂, 森田彩花, 中野麗来, 大段舞依, 照井穂乃佳, 山尾梨奈, 渋谷凪咲, 西村愛華, 古賀成美, 市川美織, 林萌々香, 内木志, 高柳明音, 柏木由紀, 村重杏奈, 梅田彩佳, 市川美織, 川上千尋, 渋谷凪咲, 須藤凜々花, 磯佳奈江, 武井紗良, 三浦亜莉沙, 藤江れいな, 植村梓, 照井穂乃佳, 松岡知穂, 松村芽久未, 中野麗来, 明石奈津子, 石田優美, 城恵理子, 森田彩花, 西澤瑠莉奈, 大段舞依, 鵜野みずき, 山尾梨奈, 高柳明音, 植村梓, 柴田優衣, 堀詩音, 村中有基, 安田桃寧, 本郷柚巴, 西仲七海, 矢倉楓子, 安藤愛璃菜, 山本彩加, 堀詩音, 村中有基, 山本彩加, 安田桃寧, 溝川実来, 岩田桃夏, 山田寿々, 上西怜, 小嶋花梨, 水田詩織, 中川美音, 清水里香, 梅山恋和, 菖蒲まりん, 出口結菜, 原かれん, 堀ノ内百香, 北村真菜, 小林莉奈, 三宅ゆりあ, 南波陽向, 大段結愛, 小川結夏, 岡本怜奈, 貞野遥香, 新澤菜央, 横野すみれ, 山崎亜美瑠, 安部若菜, 泉綾乃, 河野奈々帆, 前田令子, 南羽諒, 溝渕麻莉亜, 中野美来, 大澤藍, 大田莉央奈, 坂本夏海, 佐藤亜海, 塩月希依音, 杉浦琴音, 山本望叶, 山崎亜美瑠, 平山真衣, 眞鍋杏樹, 早川夢菜, 瓶野神音, 佐月愛果, 隅野和奏, 芳野心咲, 浅尾桃香, 黒田楓和, 和田海佑, 平山真衣, 眞鍋杏樹, 坂田心咲, 坂下真心, 桜田彩叶, 田中雪乃, 龍本弥生, 福野杏実, 池帆乃香, 黒島咲花, 松本海日菜, 松野美桜, 松岡さくら, 坂本理紗, 山本光, 早川夢菜, 瓶野神音, 坂田心咲, 佐月愛果, 隅野和奏, 芳野心咲, 青原和花, 青原優花, 芳賀礼, 二瓶愛美, 坂下真心, 桜田彩叶, 田中雪乃, 龍本弥生, 福野杏実, 池帆乃香, 黒島咲花, 松本海日菜, 松野美桜, 松岡さくら, 坂本理紗, 山本光, 青原和花, 青原優花, 芳賀礼, 二瓶愛美",NMB48（エヌエムビーフォーティーエイト[注釈 3]）は、日本の女性アイドルグループである。秋元康のプロデュースにより2010年10月に誕生した。大阪市・難波にある専用劇場「NMB48劇場」を拠点とし近畿地方を中心に活動するAKB48グループのひとつである。運営会社はKYORAKU吉本.ホールディングスで、マネジメント（所属事務所）はShowtitleが担う。所属レーベルはユニバーサルシグマ（ユニバーサルミュージック）。,87616.0,42.0,女性グループ
2015,NHK紅白歌合戦,Perfume,8.0,Pick Me Up,"J-POP, テクノ歌謡, テクノポップ, エレクトロニカ, フューチャーポップ, EDM, チップチューン, テクノ, シンセポップ, ハウス, エレクトロ, ポップ, フューチャー, ベース",Group,"日本, 広島県","中田ヤスタカ, MIKIKO","樫野有香, （かしゆか）, 西脇綾香, （あ〜ちゃん）, 大本彩乃, （のっち）",情報なし,"河島佑香, 樫野有香, 西脇綾香, 大本彩乃, チーム・アミューズ!!",Perfume（パフューム）は、日本の音楽ユニット。中田ヤスタカが楽曲プロデュースする広島県出身の3人組テクノポップユニットである。,890528.0,59.0,女性グループ
2015,NHK紅白歌合戦,SEKAI NO OWARI,2.0,プレゼント,"J-POP, インディー, ポップ, スタジアム, ロック, EDM, ジャズ",Group,"日本, 東京都, 大田区","CHRYSANTHEMUM BRIDGE, 小林武史","Nakajin, （, ギター, ）, Fukase, （, ボーカル, ）, Saori, （, ピアノ, ）, DJ LOVE, （, DJ, ）",情報なし,"藤崎彩織, Fukase, DJ LOVE, Nakajin",概要なし,2989922.0,67.0,その他
2015,NHK紅白歌合戦,SMAP,23.0,This is SMAP メドレー[※ 21],"J-POP, ハウス, ニュー, ジャック, スウィング",Group,日本,,,情報なし,"森且行, 稲垣吾郎, 香取慎吾, 木村拓哉, 草彅剛, 中居正広",概要なし,697.0,14.0,その他
