year,artist,genre,type,debut_year
2015,AAA,不明,不明,
2015,AI,不明,不明,
2015,AKB48,アイドル,女性グループ,
2015,BABYMETAL,J-POP,グループ,
2015,BREAKERZ,ロック/バンド,バンド,
2015,BUMP OF CHICKEN,ロック/バンド,バンド,
2015,BoA,不明,不明,
2015,E-girls,J-POP,グループ,
2015,EXILE,J-POP,グループ,
2015,GENERATIONS,不明,不明,
2015,GENERATIONS from EXILE TRIBE,J-POP,グループ,
2015,HKT48,アイドル,女性グループ,
2015,Hey! Say! JUMP,アイドル,男性グループ,
2015,JUJU,不明,不明,
2015,KABA.ちゃん,不明,不明,
2015,KANA-BOON,ロック/バンド,バンド,
2015,KAT-TUN,アイドル,男性グループ,
2015,KinKi Kids,アイドル,男性グループ,
2015,Kis-My-Ft2,アイドル,男性グループ,
2015,L'Arc〜en〜Ciel,ロック/バンド,バンド,
2015,MISIA,不明,不明,
2015,Mr.Children,ロック/バンド,バンド,1989
2015,NEWS,不明,不明,
2015,NMB48,アイドル,女性グループ,
2015,Perfume,アイドル,女性グループ,1999
2015,SEKAI NO OWARI,ロック/バンド,バンド,
2015,SMAP,アイドル,男性グループ,
2015,Sexy Zone,アイドル,男性グループ,2011
2015,Superfly,不明,不明,
2015,TOKIO,アイドル,男性グループ,
2015,V6,不明,不明,
2015,X JAPAN,ロック/バンド,バンド,
2015,YUKI,不明,不明,
2015,aiko,不明,不明,
2015,back number,ロック/バンド,バンド,
2015,miwa,不明,不明,
2015,,,,
2015,μ's,J-POP,グループ,
2015,いきものがかり,J-POP,グループ,
2015,きゃりーぱみゅぱみゅ,不明,不明,
2015,ゆず,不明,不明,
2015,クリス松村,不明,不明,
2015,ゲスの極み乙女。,ロック/バンド,バンド,
2015,コブクロ,不明,不明,
2015,ゴールデンボンバー,ロック/バンド,バンド,
2015,ジャニーズWEST,アイドル,男性グループ,2011
2015,タッキー&翼,アイドル,男性グループ,
2015,ナオト・インティライミ,不明,不明,
2015,ポルノグラフィティ,ロック/バンド,バンド,
2015,レベッカ,不明,不明,
2015,三代目 J Soul Brothers,J-POP,グループ,2010
2015,三代目 J Soul Brothers from EXILE TRIBE,J-POP,グループ,2010
2015,三山ひろし,不明,不明,
2015,乃木坂46,アイドル,女性グループ,
2015,五木ひろし,不明,不明,
2015,今井美樹,不明,不明,
2015,伍代夏子,不明,不明,
2015,和田アキ子,不明,不明,
2015,坂本冬美,不明,不明,
2015,大原櫻子,不明,不明,
2015,天童よしみ,不明,不明,
2015,家入レオ,ソロシンガー,女性ソロ,
2015,小林幸子,不明,不明,
2015,山内惠介,不明,不明,
2015,山本彩,アイドル,女性グループ,
2015,島津亜矢,不明,不明,
2015,嵐,不明,不明,
2015,平井堅,不明,不明,
2015,德永英明,不明,不明,
2015,星野源,ロック/バンド,バンド,
2015,松田聖子,不明,不明,
2015,森進一,不明,不明,
2015,椎名林檎,ロック/バンド,バンド,
2015,槇原敬之,ソロシンガー,男性ソロ,
2015,氣志團,ロック/バンド,バンド,
2015,水森かおり,不明,不明,
2015,氷川きよし,不明,不明,
2015,浜田ばみゅばみゅ,ロック/バンド,バンド,
2015,石川さゆり,不明,不明,
2015,福山雅治,不明,不明,
2015,秦基博,ソロシンガー,男性ソロ,
2015,稲葉浩志,不明,不明,
2015,細川たかし,不明,不明,
2015,美輪明宏,不明,不明,
2015,藤あや子,不明,不明,
2015,西内まりや,不明,不明,
2015,西野カナ,ソロシンガー,女性ソロ,
2015,近藤真彦,不明,不明,
2015,郷ひろみ,ソロシンガー,男性ソロ,
2015,関ジャニ∞,アイドル,男性グループ,
2015,髙橋真梨子,不明,不明,
2016,AAA,不明,不明,
2016,AI,不明,不明,
2016,AKB48,アイドル,女性グループ,
2016,DAIGO,ソロシンガー,男性ソロ,
2016,E-girls,J-POP,グループ,
2016,EXILE THE SECOND,J-POP,グループ,
2016,GENERATIONS,不明,不明,
2016,GENERATIONS from EXILE TRIBE,J-POP,グループ,
2016,HKT48,アイドル,女性グループ,
2016,Hey! Say! JUMP,アイドル,男性グループ,
2016,JUJU,不明,不明,
2016,JUJU×沢村一樹,不明,不明,
