year,program,artist,appearances,song,tags,type,origin,associated_acts,members
2015,NHK紅白歌合戦,AAA,6.0,恋音と雨空,J-POP,Group,Japan,,
2015,NHK紅白歌合戦,AKB48,8.0,AKB48 紅白2015 SP 〜10周年記念メドレー〜[※ 13],"J-POP, アイドル",女性グループ,日本,秋元康（総合プロデューサー）AKB48グループ,メンバーを参照
2015,NHK紅白歌合戦,BUMP OF CHICKEN,1.0,ray[※ 15][※ 9],"J-POP, アニメ, ロック",Group,日本 千葉県佐倉市,MOR （音楽プロデューサー）,"藤原基央（ボーカル・ギター）, 増川弘明（ギター）, 直井由文（ベース）, 升秀夫（ドラムス）"
2015,NHK紅白歌合戦,E-girls,3.0,Dance Dance Dance,"J-POP, シンガーソングライター, ロック",Group,日本,,
2015,NHK紅白歌合戦,EXILE,11.0,EXILE 紅白スペシャル2015[※ 14],"J-POP, R&B, ダンス",Group,日本,,"EXILE HIRO, 松本利夫, EXILE ÜSA, EXILE MAKIDAI, EXILE ATSUSHI, EXILE AKIRA, EXILE TAKAHIRO, 橘ケンチ, EXILE TETSUYA, EXILE NESMITH, EXILE SHOKICHI, EXILE NAOTO, 小林直己, 白濱亜嵐, 世界, 佐藤大樹"
2015,NHK紅白歌合戦,MISIA,2.0,オルフェンズの涙[※ 20],"J-POP, R&B",ソロ,日本 長崎県対馬市,"鷺巣詩郎, 黒田卓也, エリカ・バドゥ, マーカス・ミラー など",
2015,NHK紅白歌合戦,NMB48,3.0,365日の紙飛行機,J-POP,女性グループ,日本,秋元康（プロデューサー）剱持嘉一AKB48グループ,メンバーを参照
2015,NHK紅白歌合戦,Perfume,8.0,Pick Me Up,"J-POP, ダンス",Group,日本 広島県,中田ヤスタカMIKIKO,"樫野有香（かしゆか）, 西脇綾香（あ〜ちゃん）, 大本彩乃（のっち）"
2015,NHK紅白歌合戦,SEKAI NO OWARI,2.0,プレゼント,"J-POP, アニメ, ロック",Group,日本 東京都大田区,"CHRYSANTHEMUM BRIDGE, 小林武史","Nakajin（ギター）, Fukase（ボーカル）, Saori（ピアノ）, DJ LOVE（DJ）"
2015,NHK紅白歌合戦,SMAP,23.0,This is SMAP メドレー[※ 21],"J-POP, バンド",Group,日本,,
2015,NHK紅白歌合戦,Sexy Zone,3.0,ニッポン Cha-Cha-Cha チャンピオン,"J-POP, エレクトロニック, ロック",男性グループ,日本,,"佐藤勝利, 菊池風磨, 松島聡, 寺西拓人, 原嘉孝, 橋本将生, 猪俣周杜, 篠塚大輝"
2015,NHK紅白歌合戦,Superfly,1.0,Beautiful,"J-POP, ロック",Group,日本 愛媛県松山市[注 1],"蔦谷好位置, 多保孝一, 松岡モトキ",越智志帆（ボーカル）
2015,NHK紅白歌合戦,TOKIO,22.0,AMBITIOUS JAPAN!,J-POP,Group,日本,,
2015,NHK紅白歌合戦,V6,2.0,ザッツ!V6メドレー[※ 16],"J-POP, バンド, ロック",Group,,,
2015,NHK紅白歌合戦,X JAPAN,6.0,紅白スペシャルメドレー 〜We are X !〜[※ 18],"J-POP, ロック",Group,日本 千葉県館山市,津田直士,"YOSHIKI（ドラムス・ピアノ・コンポーザー）, Toshl（ボーカル）, PATA（ギター）, HEATH（ベース）, SUGIZO（ギター・ヴァイオリン）"
2015,NHK紅白歌合戦,miwa,3.0,fighting-φ-girls,"J-POP, アニメ, シンガーソングライター",femaleソロ,Hayama,"NAOKI-T, Quatre-M",
2015,NHK紅白歌合戦,μ's,1.0,それは僕たちの奇跡,J-POP,女性グループ,日本,畑亜貴（作詞）,"新田恵海（高坂穂乃果 役）, 南條愛乃（絢瀬絵里 役）, 内田彩（南ことり 役）, 三森すずこ（園田海未 役）, 飯田里穂（星空凛 役）, Pile（西木野真姫 役）, 楠田亜衣奈（東條希 役）, 久保ユリカ（小泉花陽 役）, 徳井青空（矢澤にこ 役）[1]"
2015,NHK紅白歌合戦,いきものがかり,8.0,ありがとう,"J-POP, ロック",Group,日本 神奈川県[注 1],"本間昭光, 亀田誠治, 島田昌典, 江口亮","吉岡聖恵（ボーカル）, 水野良樹（ギター・ピアノ）"
2015,NHK紅白歌合戦,ゆず,6.0,かける,"J-POP, アニメ, ロック",Group,Yokohama,,
2015,NHK紅白歌合戦,ゲスの極み乙女。,1.0,私以外私じゃないの,"J-POP, ロック",Group,日本,,"川谷絵音（ボーカル・ギター）, 休日課長（ベース）, ちゃんMARI（キーボード）, ほな・いこか（ドラムス）"
2015,NHK紅白歌合戦,ゴールデンボンバー,4.0,女々しくて,"J-POP, ロック",Group,,tatsuo（everset）,
2015,NHK紅白歌合戦,レベッカ,1.0,フレンズ,"エレクトロニック, ロック",maleソロ,Kōchi,,
2015,NHK紅白歌合戦,三代目 J Soul Brothers,4.0,Summer Madness,"J-POP, ダンス",Group,日本,HIRO,"NAOTO, 小林直己, ELLY, 山下健二郎, 岩田剛典, 今市隆二, ØMI"
2015,NHK紅白歌合戦,三山ひろし,1.0,お岩木山,"歌謡曲, 演歌",ソロ,日本 高知県南国市,,
2015,NHK紅白歌合戦,乃木坂46,1.0,君の名は希望,"J-POP, アイドル, 歌謡曲",Group,日本,"Sony Music Entertainment, 秋元康",現メンバーを参照
2015,NHK紅白歌合戦,五木ひろし,45.0,千曲川,"歌謡曲, 演歌",ソロ,日本 福井県三方郡,,
2015,NHK紅白歌合戦,今井美樹,2.0,PIECE OF MY WISH,"J-POP, 歌謡曲, 演歌",ソロ,日本 宮崎県児湯郡高鍋町[2],布袋寅泰,
2015,NHK紅白歌合戦,伍代夏子,22.0,東京五輪音頭,"歌謡曲, 演歌",ソロ,日本・東京都渋谷区,,
2015,NHK紅白歌合戦,和田アキ子,39.0,笑って許して,"J-POP, R&B, 歌謡曲, 演歌",ソロ,日本・大阪府大阪市天王寺区舟橋町,,
2015,NHK紅白歌合戦,坂本冬美,27.0,祝い酒,"J-POP, 歌謡曲, 演歌",femaleソロ,日本・和歌山県西牟婁郡上富田町,,
2015,NHK紅白歌合戦,大原櫻子,1.0,瞳,J-POP,ソロ,,"亀田誠治, 小名川高弘",
2015,NHK紅白歌合戦,天童よしみ,20.0,人生一路[※ 6],"歌謡曲, 演歌",ソロ,日本 大阪府八尾市,,
2015,NHK紅白歌合戦,小林幸子,34.0,千本桜,"歌謡曲, 演歌",ソロ,日本・新潟県新潟市（現：新潟市中央区）,,
2015,NHK紅白歌合戦,山内惠介,1.0,スポットライト,演歌,ソロ,日本・福岡県,,
2015,NHK紅白歌合戦,島津亜矢,2.0,帰らんちゃよか,"J-POP, 歌謡曲, 演歌",ソロ,日本・熊本県鹿本郡植木町（現：熊本市北区）,,
2015,NHK紅白歌合戦,嵐,7.0,New Year's Eve Medley 2015[※ 12],"J-POP, ダンス, バンド",Group,Honolulu,,
2015,NHK紅白歌合戦,德永英明,10.0,時代,"J-POP, シンガーソングライター",maleソロ,Yanagawa,,
2015,NHK紅白歌合戦,星野源,1.0,SUN,"J-POP, R&B, シンガーソングライター, ダンス",ソロ,日本 埼玉県川口市[1],"SAKEROCK（2000年 - 2015年）, 河村""カースケ""智康, ハマ・オカモト, 長岡亮介 ほか",
2015,NHK紅白歌合戦,松田聖子,19.0,赤いスイートピー,"J-POP, アイドル, ダンス, 歌謡曲, 演歌",ソロ,日本 福岡県三潴郡筑邦町荒木（現：久留米市荒木町）,"若松宗雄（1980年 - 1989年、2000年 - 2003年）, 大村雅朗（1980年 - 1989年）[4], 松本隆（1981年 - 1988年、1999年、2015年）, 小倉良（1992年 - 1998年、2000年、2002年、2005年 - 2015年）, 原田真二（2000年 - 2004年）",
2015,NHK紅白歌合戦,森進一,48.0,おふくろさん,"J-POP, 演歌",ソロ,日本・鹿児島県鹿児島市,,
2015,NHK紅白歌合戦,椎名林檎,3.0,長く短い祭 〜ここは地獄か天国か篇〜[※ 11],"シンガーソングライター, ロック",femaleソロ,日本 埼玉県浦和市（現・さいたま市浦和区）,"東京事変, 亀田誠治, 斎藤ネコ, 井上雨迩, 中山信彦, 村田陽一, 児玉裕一",
2015,NHK紅白歌合戦,水森かおり,13.0,大和路の恋,"歌謡曲, 演歌",ソロ,東京都北区,,
2015,NHK紅白歌合戦,氷川きよし,16.0,男花,"J-POP, アニメ, 歌謡曲, 演歌",ソロ,日本 福岡県福岡市南区[5],,
2015,NHK紅白歌合戦,石川さゆり,38.0,津軽海峡・冬景色,"J-POP, 歌謡曲, 演歌",ソロ,日本・熊本県飽託郡飽田村（後の飽田町、現・熊本市南区）,,
2015,NHK紅白歌合戦,福山雅治,8.0,デビュー25周年スペシャルメドレー[※ 7][※ 8][※ 9],"J-POP, シンガーソングライター, 歌謡曲",maleソロ,Nagasaki,"井上鑑, KOH+",
2015,NHK紅白歌合戦,細川たかし,39.0,心のこり,"歌謡曲, 演歌",ソロ,日本・北海道虻田郡真狩村,三橋美智也,
2015,NHK紅白歌合戦,美輪明宏,4.0,ヨイトマケの唄,"歌謡曲, 演歌",maleソロ,日本・長崎県長崎市,,
2015,NHK紅白歌合戦,藤あや子,21.0,曼珠沙華,"歌謡曲, 演歌",ソロ,日本 秋田県角館町（現・仙北市）,,
2015,NHK紅白歌合戦,西野カナ,6.0,トリセツ,"J-POP, シンガーソングライター",femaleソロ,日本 三重県松阪市,"GIORGIO 13 CANCEMI, DJ Mass MAD Izm*, 山口隆志",
2015,NHK紅白歌合戦,近藤真彦,10.0,ギンギラギンにさりげなく,,ソロ,日本・神奈川県大和市,,
2015,NHK紅白歌合戦,郷ひろみ,28.0,2億4千万の瞳-エキゾチック・ジャパン-,"J-POP, R&B, アイドル, 歌謡曲, 演歌",ソロ,日本 福岡県,"酒井政利, 筒美京平, 萩田光雄, 井上鑑, 坂本龍一, 大村雅朗, 唐木裕史",
2015,NHK紅白歌合戦,関ジャニ∞,4.0,前向きスクリーム!,"J-POP, エレクトロニック, ロック",男性グループ,日本・大阪府,,"横山裕（ボーカル・パーカッション・トランペット・ギター）, 村上信五（ボーカル・キーボード）, 丸山隆平（ボーカル・ベース）, 安田章大（メインボーカル・ギター）, 大倉忠義（ボーカル・ドラムス）"
2015,NHK紅白歌合戦,髙橋真梨子,3.0,五番街のマリーへ2015[※ 22],J-POP,ソロ,(1949-03-06) 1949年3月6日（76歳） 日本・広島県 廿日市市,ヘンリー広瀬ペドロ&カプリシャス,
2015,NHK紅白歌合戦,,0.0,アニメ紅白[※ 4],"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,,
2015,NHK紅白歌合戦,,0.0,ザッツ・SHOWTIME〜星に願いを〜[25][※ 10],"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,,
2015,NHK紅白歌合戦,,0.0,花は咲く,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,,
2015,ベストアーティスト,AI,,,"J-POP, R&B, シンガーソングライター, ダンス, ヒップホップ",femaleソロ,Los Angeles,,
2015,ベストアーティスト,AKB48,,,"J-POP, アイドル",女性グループ,日本,秋元康（総合プロデューサー）AKB48グループ,メンバーを参照
