year,program,artist
2021,ベストアーティスト,AKB48
2021,ベストアーティスト,Awesome City Club × 宮本笑里
2021,ベストアーティスト,BE:FIRST
2021,ベストアーティスト,BiSH
2021,ベストアーティスト,Creepy Nuts
2021,ベストアーティスト,DA PUMP
2021,ベストアーティスト,DISH//
2021,ベストアーティスト,EXILE
2021,ベストアーティスト,EXIT
2021,ベストアーティスト,GENERATIONS from EXILE TRIBE
2021,ベストアーティスト,Hey! Say! JUMP
2021,ベストアーティスト,J-FRIENDS
2021,ベストアーティスト,JUJU
2021,ベストアーティスト,KAT-TUN
2021,ベストアーティスト,KinKi Kids
2021,ベストアーティスト,King & Prince
2021,ベストアーティスト,L'Arc〜en〜Ciel
2021,ベストアーティスト,LiSA
2021,ベストアーティスト,MISIA
2021,ベストアーティスト,Mr.Children
2021,ベストアーティスト,NEWS
2021,ベストアーティスト,NiziU
2021,ベストアーティスト,Perfume
2021,ベストアーティスト,SMAP
2021,ベストアーティスト,Sexy Zone
2021,ベストアーティスト,SexyZone × モーニング娘。
2021,ベストアーティスト,SixTONES
2021,ベストアーティスト,Snow Man
2021,ベストアーティスト,TOKIO
2021,ベストアーティスト,TOMORROW X TOGETHER
2021,ベストアーティスト,V6
2021,ベストアーティスト,YOASOBI
2021,ベストアーティスト,aiko
2021,ベストアーティスト,いきものがかり
2021,ベストアーティスト,なにわ男子
2021,ベストアーティスト,ジャニーズWEST
2021,ベストアーティスト,ポルノグラフィティ
2021,ベストアーティスト,三代目 J SOUL BROTHERS from EXILE TRIBE
2021,ベストアーティスト,中丸雄一
2021,ベストアーティスト,中島美嘉
2021,ベストアーティスト,乃木坂46
2021,ベストアーティスト,嵐
2021,ベストアーティスト,嵐 × 乃木坂46
2021,ベストアーティスト,日向坂46
2021,ベストアーティスト,星野源
2021,ベストアーティスト,村方乃々佳
2021,ベストアーティスト,桑田佳祐
2021,ベストアーティスト,櫻井翔
2021,ベストアーティスト,櫻坂46
2021,ベストアーティスト,浜崎あゆみ
2021,ベストアーティスト,福山雅治
2021,ベストアーティスト,西野カナ
2021,ベストアーティスト,郷ひろみ
2021,ベストアーティスト,関ジャニ∞
2022,ベストアーティスト,&TEAM
2022,ベストアーティスト,A.B.C-Z
2022,ベストアーティスト,AKB48
2022,ベストアーティスト,Ado
2022,ベストアーティスト,BE:FIRST
2022,ベストアーティスト,Da-iCE
2022,ベストアーティスト,FANTASTICS from EXILE TRIBE
2022,ベストアーティスト,Gaho × THE BEAT GARDEN
2022,ベストアーティスト,Hey! Say! JUMP
2022,ベストアーティスト,KARA
2022,ベストアーティスト,KAT-TUN
2022,ベストアーティスト,KinKi Kids
2022,ベストアーティスト,King & Prince
2022,ベストアーティスト,King Gnu
2022,ベストアーティスト,Kis-My-Ft2
2022,ベストアーティスト,LE SSERAFIM
2022,ベストアーティスト,MISIA
2022,ベストアーティスト,NiziU
2022,ベストアーティスト,O-Zone
2022,ベストアーティスト,Perfume
2022,ベストアーティスト,SEKAI NO OWARI
2022,ベストアーティスト,SEVENTEEN
2022,ベストアーティスト,STU48
2022,ベストアーティスト,Sexy Zone
2022,ベストアーティスト,SixTONES
2022,ベストアーティスト,Stray Kids
2022,ベストアーティスト,THE RAMPAGE from EXILE TRIBE
2022,ベストアーティスト,なにわ男子
2022,ベストアーティスト,ゆず
2022,ベストアーティスト,ゆず×中川大志
2022,ベストアーティスト,ジェジュン
2022,ベストアーティスト,ブラックビスケッツ
2022,ベストアーティスト,ポルノグラフィティ
2022,ベストアーティスト,レミオロメン
2022,ベストアーティスト,中島美嘉
2022,ベストアーティスト,乃木坂46
2022,ベストアーティスト,大塚愛
2022,ベストアーティスト,宮本浩次
2022,ベストアーティスト,日向坂46
2022,ベストアーティスト,櫻坂46
2022,ベストアーティスト,福山雅治
2022,ベストアーティスト,絢香×コブクロ
2022,ベストアーティスト,緑黄色社会
2022,ベストアーティスト,美炎-BIEN-
2022,ベストアーティスト,西野カナ
2022,ベストアーティスト,関ジャニ∞
2023,ベストアーティスト,&TEAM
2023,ベストアーティスト,Ado
2023,ベストアーティスト,BE:FIRST
2023,ベストアーティスト,Da-iCE
2023,ベストアーティスト,GENERATIONS from EXILE TRIBE
2023,ベストアーティスト,IMP.
2023,ベストアーティスト,JO1
2023,ベストアーティスト,Kep1er
2023,ベストアーティスト,King & Prince
2023,ベストアーティスト,King Gnu
2023,ベストアーティスト,LE SSERAFIM
2023,ベストアーティスト,MISIA
2023,ベストアーティスト,Mrs. GREEN APPLE
2023,ベストアーティスト,NiziU
2023,ベストアーティスト,Perfume
2023,ベストアーティスト,Rockon Social Club
2023,ベストアーティスト,SEKAI NO OWARI
2023,ベストアーティスト,SEVENTEEN
2023,ベストアーティスト,SKY-HI×Nissy
2023,ベストアーティスト,SUPER BEAVER
2023,ベストアーティスト,Sexy Zone
2023,ベストアーティスト,SixTONES
2023,ベストアーティスト,Snow Man
2023,ベストアーティスト,なにわ男子
2023,ベストアーティスト,ゆず
2023,ベストアーティスト,ジェジュン
2023,ベストアーティスト,乃木坂46
2023,ベストアーティスト,優里
2023,ベストアーティスト,日向坂46
2023,ベストアーティスト,昆夏美×山崎育三郎
2023,ベストアーティスト,生田絵梨花
2023,ベストアーティスト,由薫
2023,ベストアーティスト,石川さゆり
2023,ベストアーティスト,福山雅治
2023,ベストアーティスト,緑黄色社会
2023,ベストアーティスト,豊原江理佳
2024,ベストアーティスト,&TEAM
2024,ベストアーティスト,AI
2024,ベストアーティスト,Aぇ! group
2024,ベストアーティスト,Da-iCE
2024,ベストアーティスト,GLAY
