year,program,artist
2015,NHK紅白歌合戦,郷ひろみ
2015,NHK紅白歌合戦,大原櫻子
2015,NHK紅白歌合戦,Sexy Zone[※ 1]
2015,NHK紅白歌合戦,伍代夏子
2015,NHK紅白歌合戦,乃木坂46
2015,NHK紅白歌合戦,三山ひろし
2015,NHK紅白歌合戦,E-girls
2015,NHK紅白歌合戦,SEKAI NO OWARI
2015,NHK紅白歌合戦,坂本冬美
2015,NHK紅白歌合戦,德永英明
2015,NHK紅白歌合戦,nan
2015,NHK紅白歌合戦,μ's
2015,NHK紅白歌合戦,山内惠介
2015,NHK紅白歌合戦,AAA
2015,NHK紅白歌合戦,星野源
2015,NHK紅白歌合戦,島津亜矢
2015,NHK紅白歌合戦,ゲスの極み乙女。
2015,NHK紅白歌合戦,藤あや子
2015,NHK紅白歌合戦,ゆず
2015,NHK紅白歌合戦,miwa
2015,NHK紅白歌合戦,氷川きよし
2015,NHK紅白歌合戦,細川たかし
2015,NHK紅白歌合戦,和田アキ子
2015,NHK紅白歌合戦,関ジャニ∞[※ 5]
2015,NHK紅白歌合戦,天童よしみ
2016,NHK紅白歌合戦,関ジャニ∞[※ 1]
2016,NHK紅白歌合戦,PUFFY
2016,NHK紅白歌合戦,AAA
2016,NHK紅白歌合戦,E-girls
2016,NHK紅白歌合戦,欅坂46[※ 3]
2016,NHK紅白歌合戦,三山ひろし
2016,NHK紅白歌合戦,山内惠介
2016,NHK紅白歌合戦,miwa
2016,NHK紅白歌合戦,Sexy Zone[※ 4]
2016,NHK紅白歌合戦,天童よしみ
2016,NHK紅白歌合戦,SEKAI NO OWARI
2016,NHK紅白歌合戦,市川由紀乃
2016,NHK紅白歌合戦,三代目 J Soul Brothers
2016,NHK紅白歌合戦,香西かおり
2016,NHK紅白歌合戦,椎名林檎
2016,NHK紅白歌合戦,福田こうへい
2016,NHK紅白歌合戦,絢香
2016,NHK紅白歌合戦,郷ひろみ
2016,NHK紅白歌合戦,V6
2016,NHK紅白歌合戦,水森かおり
2016,NHK紅白歌合戦,いきものがかり
2016,NHK紅白歌合戦,ゆず
2016,NHK紅白歌合戦,渡辺直美
2016,NHK紅白歌合戦,ピコ太郎
2017,NHK紅白歌合戦,Hey! Say! JUMP
2017,NHK紅白歌合戦,Little Glee Monster
2017,NHK紅白歌合戦,山内惠介
2017,NHK紅白歌合戦,E-girls
2017,NHK紅白歌合戦,SHISHAMO
2017,NHK紅白歌合戦,三山ひろし
2017,NHK紅白歌合戦,AI × 渡辺直美[※ 6]
2017,NHK紅白歌合戦,竹原ピストル
2017,NHK紅白歌合戦,丘みどり
2017,NHK紅白歌合戦,Sexy Zone[※ 7]
2017,NHK紅白歌合戦,市川由紀乃
2017,NHK紅白歌合戦,福田こうへい
2017,NHK紅白歌合戦,三代目 J Soul Brothers
2017,NHK紅白歌合戦,天童よしみ
2017,NHK紅白歌合戦,SEKAI NO OWARI
2017,NHK紅白歌合戦,倉木麻衣
2017,NHK紅白歌合戦,TWICE
2017,NHK紅白歌合戦,三浦大知
2017,NHK紅白歌合戦,水森かおり
2017,NHK紅白歌合戦,WANIMA
2017,NHK紅白歌合戦,島津亜矢
2017,NHK紅白歌合戦,郷ひろみ
2018,NHK紅白歌合戦,三代目 J Soul Brothers
2018,NHK紅白歌合戦,坂本冬美
2018,NHK紅白歌合戦,郷ひろみ
2018,NHK紅白歌合戦,Little Glee Monster
2018,NHK紅白歌合戦,山内惠介
2018,NHK紅白歌合戦,DAOKO
2018,NHK紅白歌合戦,nan
2018,NHK紅白歌合戦,Hey! Say! JUMP
2018,NHK紅白歌合戦,丘みどり
2018,NHK紅白歌合戦,天童よしみ
2018,NHK紅白歌合戦,Suchmos
2018,NHK紅白歌合戦,純烈
2018,NHK紅白歌合戦,あいみょん
2018,NHK紅白歌合戦,水森かおり
2018,NHK紅白歌合戦,Sexy Zone[• 3]
2018,NHK紅白歌合戦,刀剣男士
2018,NHK紅白歌合戦,Aqours
2018,NHK紅白歌合戦,YOSHIKI feat. HYDE
2018,NHK紅白歌合戦,YOSHIKI feat. サラ・ブライトマン
2018,NHK紅白歌合戦,島津亜矢
2018,NHK紅白歌合戦,五木ひろし
2019,NHK紅白歌合戦,Foorin
2019,NHK紅白歌合戦,郷ひろみ
2019,NHK紅白歌合戦,aiko
2019,NHK紅白歌合戦,GENERATIONS
2019,NHK紅白歌合戦,日向坂46
2019,NHK紅白歌合戦,純烈
2019,NHK紅白歌合戦,ジャニーズJr.
2019,NHK紅白歌合戦,Hey! Say! JUMP
2019,NHK紅白歌合戦,島津亜矢
2019,NHK紅白歌合戦,中元みずき
2019,NHK紅白歌合戦,ダイアモンド☆ユカイ
2019,NHK紅白歌合戦,中村倫也&木下晴香
2019,NHK紅白歌合戦,おしりたんてい
2019,NHK紅白歌合戦,Kis-My-Ft2
2019,NHK紅白歌合戦,天童よしみ
2019,NHK紅白歌合戦,AKB48
2019,NHK紅白歌合戦,山内惠介
2019,NHK紅白歌合戦,三浦大知
2019,NHK紅白歌合戦,LiSA
2019,NHK紅白歌合戦,坂本冬美
2019,NHK紅白歌合戦,King Gnu
2019,NHK紅白歌合戦,丘みどり
2019,NHK紅白歌合戦,福山雅治[• 4]
2019,NHK紅白歌合戦,TWICE
2019,NHK紅白歌合戦,五木ひろし
2020,NHK紅白歌合戦,King & Prince[• 1]
2020,NHK紅白歌合戦,Foorin[• 2]
2020,NHK紅白歌合戦,山内惠介[• 3]
2020,NHK紅白歌合戦,milet
2020,NHK紅白歌合戦,日向坂46
2020,NHK紅白歌合戦,櫻坂46
2020,NHK紅白歌合戦,Hey!Say!JUMP
2020,NHK紅白歌合戦,Little Glee Monster[• 2][• 7]
2020,NHK紅白歌合戦,SixTONES
2020,NHK紅白歌合戦,水森かおり
2020,NHK紅白歌合戦,GENERATIONS
2020,NHK紅白歌合戦,純烈
2020,NHK紅白歌合戦,坂本冬美
2020,NHK紅白歌合戦,Kis-My-Ft2[• 2]
2020,NHK紅白歌合戦,天童よしみ
2020,NHK紅白歌合戦,さだまさし[• 3]
2020,NHK紅白歌合戦,乃木坂46
2020,NHK紅白歌合戦,鈴木雅之
2020,NHK紅白歌合戦,nan
2020,NHK紅白歌合戦,五木ひろし
2021,NHK紅白歌合戦,LiSA
2021,NHK紅白歌合戦,郷ひろみ
2021,NHK紅白歌合戦,DISH//
2021,NHK紅白歌合戦,NiziU [• 1]
2021,NHK紅白歌合戦,山内惠介 [• 2]
2021,NHK紅白歌合戦,櫻坂46[• 2]
2021,NHK紅白歌合戦,YOASOBI with ミドリーズ
2021,NHK紅白歌合戦,Awesome City Club [• 1]
2021,NHK紅白歌合戦,GENERATIONS
2021,NHK紅白歌合戦,日向坂46
2021,NHK紅白歌合戦,純烈
2021,NHK紅白歌合戦,SixTONES [• 1]
2021,NHK紅白歌合戦,天童よしみ
2021,NHK紅白歌合戦,KAT-TUN
2021,NHK紅白歌合戦,上白石萌音 [• 1]
2021,NHK紅白歌合戦,King & Prince
2021,NHK紅白歌合戦,milet
2021,NHK紅白歌合戦,まふまふ[• 1]
2021,NHK紅白歌合戦,水森かおり [• 7]
2021,NHK紅白歌合戦,Snow Man
2021,NHK紅白歌合戦,松平健
2022,NHK紅白歌合戦,SixTONES
2022,NHK紅白歌合戦,天童よしみ
2022,NHK紅白歌合戦,緑黄色社会
2022,NHK紅白歌合戦,郷ひろみ
2022,NHK紅白歌合戦,なにわ男子
2022,NHK紅白歌合戦,水森かおり
2022,NHK紅白歌合戦,LE SSERAFIM[• 4]
2022,NHK紅白歌合戦,Saucy Dog
2022,NHK紅白歌合戦,山内惠介
2022,NHK紅白歌合戦,日向坂46
2022,NHK紅白歌合戦,JO1
2022,NHK紅白歌合戦,milet
2022,NHK紅白歌合戦,NiziU
2022,NHK紅白歌合戦,鈴木雅之
2022,NHK紅白歌合戦,BE:FIRST
2022,NHK紅白歌合戦,SEKAI NO OWARI
2022,NHK紅白歌合戦,三浦大知
2022,NHK紅白歌合戦,IVE
2022,NHK紅白歌合戦,Snow Man
2022,NHK紅白歌合戦,Perfume
2022,NHK紅白歌合戦,THE LAST ROCKSTARS
2022,NHK紅白歌合戦,Aimer[• 11]
2022,NHK紅白歌合戦,坂本冬美
2023,NHK紅白歌合戦,新しい学校のリーダーズ
2023,NHK紅白歌合戦,JO1
2023,NHK紅白歌合戦,鈴木雅之
2023,NHK紅白歌合戦,Stray Kids[• 2]
2023,NHK紅白歌合戦,Perfume[• 2]
2023,NHK紅白歌合戦,すとぷり[• 3]
2023,NHK紅白歌合戦,天童よしみ[• 4]
2023,NHK紅白歌合戦,キタニタツヤ
2023,NHK紅白歌合戦,緑黄色社会
2023,NHK紅白歌合戦,櫻坂46[• 2][• 5]
2023,NHK紅白歌合戦,純烈
2023,NHK紅白歌合戦,ano
2023,NHK紅白歌合戦,BE:FIRST[• 2]
2023,NHK紅白歌合戦,JUJU
2023,NHK紅白歌合戦,NiziU
2023,NHK紅白歌合戦,LE SSERAFIM
2023,NHK紅白歌合戦,山内惠介[• 8]
2023,NHK紅白歌合戦,乃木坂46[• 9]
2023,NHK紅白歌合戦,郷ひろみ
2023,NHK紅白歌合戦,milet × MAN WITH A MISSION[• 2]
2023,NHK紅白歌合戦,MAN WITH A MISSION × milet[• 2]
2023,NHK紅白歌合戦,SEVENTEEN[• 10]
2023,NHK紅白歌合戦,水森かおり[• 11]
2023,NHK紅白歌合戦,ハマいく
2023,NHK紅白歌合戦,大泉洋
2024,NHK紅白歌合戦,紅白出演者有志
2024,NHK紅白歌合戦,ME:I
2024,NHK紅白歌合戦,天童よしみ
2024,NHK紅白歌合戦,こっちのけんと
2024,NHK紅白歌合戦,Omoinotake
2024,NHK紅白歌合戦,Da-iCE
2024,NHK紅白歌合戦,ILLIT
2024,NHK紅白歌合戦,緑黄色社会
2024,NHK紅白歌合戦,ILLIT[• 2]、Number_i、ME:I[• 3]
2024,NHK紅白歌合戦,有吉弘行、橋本環奈、伊藤沙莉
2024,NHK紅白歌合戦,MISIA
2024,NHK紅白歌合戦,有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ
2024,NHK紅白歌合戦,紅白出演者有志[• 4]
2024,NHK紅白歌合戦,新浜レオン
2024,NHK紅白歌合戦,櫻坂46
2024,NHK紅白歌合戦,JO1
