artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster
10-FEET,2,56.0,0.0,8.698473282442748,0
A.B.C-Z,5,41.0,0.0,23.133587786259543,0
AAA,3,16.0,0.0,17.34732824427481,1
AI,12,54.0,0.0,36.93511450381679,2
AI美空ひばり,1,0.0,0.0,5.3320610687022905,1
AKB48,19,59.0,0.0,53.32824427480916,2
Ado,3,13.0,0.0,18.606870229007633,1
Aimer,2,67.0,0.0,11.198473282442748,0
Aqours,1,49.0,0.0,14.438931297709924,0
Awesome City Club,2,50.0,0.0,7.706106870229007,0
Awich,1,63.0,0.0,20.16412213740458,0
Aぇ! group,1,36.0,0.0,21.141221374045802,0
B'z,3,20.0,0.0,16.171755725190838,1
B.B.クィーンズ,1,0.0,0.0,2.0763358778625953,1
BABYMETAL,4,71.0,0.0,10.858778625954198,0
BARBEE BOYS,1,45.0,0.0,11.442748091603054,0
BE:FIRST,8,71.0,0.0,14.835877862595419,0
BLOOM VASE,1,48.0,0.0,7.33587786259542,0
BLUE ENCOUNT,1,54.0,0.0,23.97328244274809,0
BOYNEXTDOOR,1,72.0,0.0,15.412213740458014,0
BREAKERZ,1,33.0,0.0,26.18702290076336,0
BTS,2,44.0,0.0,29.35496183206107,0
BUMP OF CHICKEN,2,64.0,0.0,21.4618320610687,0
BiSH,4,14.0,0.0,10.912213740458014,1
BoA,2,57.0,0.0,15.709923664122137,0
Boyz II Men,1,71.0,0.0,2.286259541984733,0
B’z,1,20.0,0.0,11.057251908396946,1
B小町,1,51.0,0.0,2.732824427480916,0
CANDY TUNE,1,58.0,0.0,8.320610687022901,0
CHEMISTRY,3,51.0,0.0,56.44274809160305,0
CUTIE STREET,1,62.0,0.0,9.717557251908397,0
Creepy Nuts,4,74.0,1.0,19.797709923664122,0
DA PUMP,12,49.0,0.0,20.12213740458015,2
DAIGO,1,54.0,0.0,8.412213740458014,0
DAOKO,2,57.0,0.0,18.782442748091604,0
DEAN FUJIOKA,4,42.0,0.0,10.320610687022901,0
DISH//,6,14.0,2.0,23.015267175572518,1
DJ松永（Creepy Nuts）,1,0.0,0.0,0.0,1
Da-iCE,5,66.0,0.0,11.01526717557252,0
Da-iCE、ME:I,1,0.0,0.0,0.0,1
Def Tech,1,52.0,0.0,11.721374045801527,0
E-girls,13,48.0,0.0,9.698473282442748,2
ELEVENPLAY,1,0.0,0.0,1.9274809160305344,1
EXILE,11,62.0,0.0,47.33969465648855,2
EXILE ATSUSHI,1,47.0,0.0,12.988549618320612,0
EXILE THE SECOND,4,34.0,0.0,10.48091603053435,1
EXIT,1,42.0,0.0,21.057251908396946,0
FANTASTICS,1,53.0,0.0,43.782442748091604,0
FANTASTICS from EXILE TRIBE,1,53.0,0.0,31.935114503816795,0
FRUITS ZIPPER,1,64.0,0.0,17.740458015267176,0
Foorin,6,36.0,0.0,6.599236641221374,1
GENERATIONS,13,53.0,0.0,33.221374045801525,2
GENERATIONS from EXILE TRIBE,8,53.0,0.0,40.61450381679389,2
GLAY,2,59.0,0.0,20.9618320610687,0
GReeeeN,1,64.0,2.0,4.33587786259542,0
HKT48,2,37.0,0.0,38.5,0
HY,2,57.0,0.0,23.80534351145038,0
Hey! Say! JUMP,20,59.0,1.0,36.1412213740458,2
Hey!Say!JUMP,1,59.0,0.0,36.1412213740458,0
Hoodie fam,1,0.0,0.0,3.5610687022900764,1
ILLIT,3,78.0,0.0,8.812977099236642,0
IMP.,2,31.0,1.0,18.206106870229007,0
INI,1,24.0,0.0,33.66412213740458,0
IVE,1,44.0,0.0,25.091603053435115,0
IZ*ONE,1,61.0,0.0,13.438931297709924,0
J-FRIENDS,1,56.0,0.0,0.7480916030534351,0
JO1,4,7.0,0.0,32.61450381679389,1
JUJU,7,56.0,0.0,17.69083969465649,0
Jr.EXILE,1,27.0,0.0,3.2938931297709924,1
Jr.EXILE（GENERATIONS、THE RAMPAGE、FANTASTICS、BALLISTIK BOYZ）,1,0.0,0.0,0.0,1
KABA.ちゃん,1,0.0,0.0,16.553435114503817,1
KANA-BOON,1,63.0,0.0,1.9580152671755726,0
KARA,2,2.0,0.0,7.034351145038168,1
KAT-TUN,13,31.0,0.0,15.053435114503817,2
KICK THE CAN CREW,1,36.0,0.0,19.748091603053435,0
KREVA,1,49.0,0.0,19.778625954198475,0
Kep1er,1,56.0,0.0,12.114503816793894,0
KinKi Kids,13,62.0,0.0,24.442748091603054,2
King Gnu,9,72.0,18.0,20.927480916030536,3
Kiroro,1,49.0,0.0,38.70229007633588,0
Kis-My-Ft2,13,53.0,0.0,29.49618320610687,2
L'Arc〜en〜Ciel,5,0.0,0.0,23.66030534351145,1
L'Arc～en～Ciel,1,0.0,0.0,28.5,1
LE SSERAFIM,6,82.0,0.0,18.68702290076336,0
LUNA SEA,3,48.0,0.0,21.561068702290076,0
LiSA,9,71.0,0.0,10.98091603053435,0
Little Glee Monster,12,56.0,0.0,13.454198473282442,2
MAN WITH A MISSION,1,63.0,0.0,32.152671755725194,0
ME:I,2,56.0,0.0,23.0,0
MIGHTY WARRIORS,1,20.0,0.0,1.3091603053435115,1
MISAMO,2,60.0,0.0,5.812977099236641,0
MISIA,15,31.0,1.0,13.736641221374045,2
MIYAVI,2,55.0,0.0,7.324427480916031,0
Matt,1,72.0,0.0,29.48854961832061,0
May J.,2,79.0,0.0,8.977099236641221,0
Mirage Collective,1,26.0,0.0,2.0267175572519083,1
Mr.Children,5,68.0,0.0,19.568702290076335,0
Mrs. GREEN APPLE,7,84.0,13.0,19.576335877862597,3
NEWS,14,27.0,0.0,43.13358778625954,2
NGT48,1,29.0,0.0,33.66793893129771,0
NMB48,3,42.0,0.0,17.946564885496183,0
NewJeans,2,81.0,0.0,12.687022900763358,0
NiziU,14,61.0,0.0,14.202290076335878,2
Number_i,2,70.0,4.0,12.904580152671755,0
O-Zone,1,59.0,0.0,1.7366412213740459,0
ORANGE RANGE,2,64.0,0.0,18.866412213740457,0
Official髭男dism,5,22.0,25.0,18.65267175572519,3
Omoinotake,3,61.0,0.0,8.320610687022901,0
PUFFY,2,48.0,0.0,30.19465648854962,0
Perfume,29,59.0,0.0,36.1793893129771,2
RADIO FISH,3,32.0,0.0,6.106870229007634,1
RADWIMPS,2,76.0,7.0,28.88167938931298,0
RIIZE,1,69.0,0.0,16.698473282442748,0
Rockon Social Club,1,29.0,0.0,7.202290076335878,1
SEKAI NO OWARI,20,67.0,0.0,27.171755725190838,2
SEVENTEEN,4,82.0,0.0,44.49236641221374,0
