year,artist,genre,type,debut_year
2015,AAA,不明,不明,
2015,AI,不明,不明,
2015,AKB48,J-POP,女性グループ,2005
2015,BABYMETAL,音楽,グループ,2012
2015,BREAKERZ,J-POP[1]ロック[1],バンド,2007
2015,BUMP OF CHICKEN,音楽,バンド,2010
2015,BoA,K-POP[1]J-POP[1]ダンス・ポップ[1]R&B[1],不明,2000
2015,E-girls,J-POP[1]EDM[2],グループ,2011
2015,EXILE,J-POP[1]ダンス・ポップ[1]R&B[1]ヒップホップ[2],グループ,2001
2015,GENERATIONS,J-POP,不明,
2015,GENERATIONS from EXILE TRIBE,J-POP[1],グループ,2011
2015,HKT48,J-POP,女性グループ,2011
2015,Hey! Say! JUMP,音楽,男性グループ,2022
2015,JUJU,音楽,不明,2012
2015,KABA.ちゃん,バラエティ、音楽,不明,1996
2015,KANA-BOON,音楽,バンド,2020
2015,KAT-TUN,J-POP[1],男性グループ,2001
2015,KinKi Kids,音楽,男性グループ,2022
2015,Kis-My-Ft2,音楽,男性グループ,2022
2015,L'Arc〜en〜Ciel,音楽,バンド,2019
2015,MISIA,R&B[1]J-POP[1]ソウル[1]ジャズ,女性ソロ,1998
2015,Mr.Children,音楽,バンド,2013
2015,NEWS,不明,不明,
2015,NMB48,J-POP,女性グループ,2010
2015,Perfume,音楽,女性グループ,2006
2015,SEKAI NO OWARI,音楽,男女混合バンド,2019
2015,SMAP,J-POP[1][2]ハウス[3]ニュー・ジャック・スウィング[3],男性グループ,1988
2015,Sexy Zone,J-POP,男性グループ,2011
2015,Superfly,J-POP[1]ロック[2],不明,2003
2015,TOKIO,パワー・ポップ[1]ロック[2],男性グループ,1990
2015,V6,不明,不明,
2015,X JAPAN,音楽,バンド,2010
2015,YUKI,不明,不明,
2015,aiko,音楽,不明,2013
2015,back number,音楽,バンド,2020
2015,miwa,音楽,不明,2017
2015,,,,
2015,μ's,J-POPアニメソングゲームソング,グループ,2010
2015,いきものがかり,ポップ・ロック[1][2]J-POP[3],グループ,1999
2015,きゃりーぱみゅぱみゅ,J-POP[3][4]エレクトロ・ポップ[5]バブルガム・ポップ[6]ダブステップ[7],女性ソロ,2009
2015,ゆず,不明,不明,
2015,クリス松村,不明,不明,2005
2015,ゲスの極み乙女。,J-POP[1]ポップ・ロック[2]プログレッシブ・ロック[3][2]ヒップホップ[3][2]ジャズ[4]ファンク[4],男女混合バンド,2012
2015,コブクロ,音楽,不明,2014
2015,ゴールデンボンバー,ロック/バンド,バンド,
2015,ジャニーズWEST,音楽エンターテインメント,男性グループ,2022
2015,タッキー&翼,J-POP,男性グループ,2002
2015,ナオト・インティライミ,音楽,不明,2010
2015,ポルノグラフィティ,音楽,バンド,2012
2015,レベッカ,不明,不明,
2015,三代目 J Soul Brothers,J-POP[1]EDM[2],グループ,2010
2015,三代目 J Soul Brothers from EXILE TRIBE,J-POP[1]EDM[2],グループ,2010
2015,三山ひろし,演歌,不明,2009
2015,乃木坂46,J-POP,女性グループ,2011
2015,五木ひろし,演歌歌謡曲,不明,1964
2015,今井美樹,ニューミュージックJ-POPAOR,不明,1983
2015,伍代夏子,演歌,不明,1982
2015,和田アキ子,R&B、ソウル、歌謡曲、ジャズ、J-POP,不明,1968
2015,坂本冬美,演歌・歌謡曲・J-POP,不明,1987
2015,大原櫻子,エンターテインメント,不明,2020
2015,天童よしみ,演歌・歌謡曲アニメソング,不明,1970
2015,家入レオ,ポップス[2]ロック[2],女性ソロ,2012
2015,小林幸子,演歌歌謡曲,不明,1963
2015,山内惠介,演歌,不明,2001
2015,山本彩,音楽,女性グループ,2016
2015,島津亜矢,演歌、J-POPなど,不明,1986
2015,嵐,不明,不明,
2015,平井堅,音楽,不明,2014
2015,德永英明,J-POP[1]ジャズ[1]ポップ・ロック[1]アダルト・コンテンポラリー[1],不明,1986
2015,星野源,音楽,バンド,2015
2015,松田聖子,歌謡曲[2]ポップ[3]J-POP[3]ジャズ[3],不明,1979
2015,森進一,演歌歌謡曲J-POP,不明,1966
2015,椎名林檎,音楽,バンド,2013
2015,槇原敬之,音楽,男性ソロ,2011
2015,氣志團,音楽,バンド,2020
