year,artist,genre,type,debut_year
2015,AAA,J-POP,グループ,2005
2015,AI,J-POP,femaleソロ,1981
2015,AKB48,アイドル,グループ,2005
2015,BABYMETAL,アイドル,グループ,2010
2015,BREAKERZ,J-POP,グループ,2007
2015,BUMP OF CHICKEN,J-POP,グループ,1994
2015,BoA,J-POP,femaleソロ,1986
2015,E-girls,J-POP[1]EDM[2],グループ,1972
2015,EXILE,J-POP,グループ,1999
2015,GENERATIONS,J-POP,maleソロ,1959
2015,GENERATIONS from EXILE TRIBE,J-POP[1],グループ,2012
2015,HKT48,J-POP,グループ,2011
2015,Hey! Say! JUMP,J-POP,グループ,2007
2015,JUJU,J-POP,femaleソロ,1976
2015,KABA.ちゃん,バラエティ、音楽,maleソロ,1959
2015,KANA-BOON,J-POP,グループ,2006
2015,KAT-TUN,J-POP,グループ,2001
2015,KinKi Kids,J-POP[1]ダンス・ポップ[1],グループ,1992
2015,Kis-My-Ft2,J-POP,グループ,2005
2015,L'Arc〜en〜Ciel,ポップ・ロック[1]ハードロック[2]ニュー・ウェイヴ[3]ポストパンク[3]グランジ[3]オルタナティヴ・ロック[3],グループ,1991
2015,MISIA,J-POP,femaleソロ,1978
2015,Mr.Children,ポップ・ロック[2][3]J-POP[4],グループ,1989
2015,NEWS,J-POP,グループ,2003
2015,NMB48,J-POP,グループ,2010
2015,Perfume,J-POP,グループ,2000
2015,SEKAI NO OWARI,J-POP,グループ,2007
2015,SMAP,J-POP,グループ,1988
2015,Sexy Zone,J-POP,maleソロ,1959
2015,Superfly,J-POP,グループ,2004
2015,TOKIO,J-POP,グループ,1990
2015,V6,J-POP,グループ,1995
2015,X JAPAN,ヴィジュアル系[1][2]ヘヴィメタル[3][2][4]グラムロック[4]スピードメタル[1][3]パワーメタル[3]シンフォニックメタル[3],グループ,1982
2015,YUKI,J-POP,femaleソロ,1972
2015,aiko,J-POP,femaleソロ,1975
2015,back number,J-POP[1]ロック[2]ポップ・ロック[3],グループ,2004
2015,miwa,J-POP,femaleソロ,1990
2015,,,,
2015,μ's,J-POP,グループ,2010
2015,いきものがかり,J-POP,グループ,1999
2015,きゃりーぱみゅぱみゅ,J-POP,femaleソロ,1993
2015,ゆず,J-POP,グループ,1997
2015,クリス松村,不明,maleソロ,1959
2015,ゲスの極み乙女。,J-POP,グループ,2012
2015,コブクロ,J-POP,グループ,1998
2015,ゴールデンボンバー,J-POP,グループ,2004
2015,ジャニーズWEST,J-POP,maleソロ,1959
2015,タッキー&翼,,,
2015,ナオト・インティライミ,J-POP[1],maleソロ,1979
2015,ポルノグラフィティ,J-POP,グループ,1994
2015,レベッカ,不明,maleソロ,1959
2015,三代目 J Soul Brothers,J-POP,グループ,2010
2015,三代目 J Soul Brothers from EXILE TRIBE,J-POP,グループ,2010
2015,三山ひろし,演歌,maleソロ,1980
2015,乃木坂46,アイドル,グループ,2011
2015,五木ひろし,演歌歌謡曲,maleソロ,1948
2015,今井美樹,ニューミュージックJ-POPAOR,femaleソロ,1963
2015,伍代夏子,演歌,femaleソロ,1961
2015,和田アキ子,R&B、ソウル、歌謡曲、ジャズ、J-POP,femaleソロ,1950
2015,坂本冬美,演歌・歌謡曲・J-POP,femaleソロ,1967
2015,大原櫻子,J-POP,femaleソロ,1996
2015,天童よしみ,演歌・歌謡曲アニメソング,femaleソロ,1954
2015,家入レオ,ポップス[2]ロック[2],femaleソロ,1994
2015,小林幸子,演歌歌謡曲,femaleソロ,1953
2015,山内惠介,演歌,maleソロ,1983
2015,山本彩,J-POP,femaleソロ,1993
2015,島津亜矢,演歌、J-POPなど,femaleソロ,1971
2015,嵐,J-POP,グループ,1999
2015,平井堅,J-POP,maleソロ,1972
2015,德永英明,J-POP,maleソロ,1961
2015,星野源,J-POP,maleソロ,1981
2015,松田聖子,J-POP,femaleソロ,1962
2015,森進一,演歌歌謡曲J-POP,maleソロ,1947
2015,椎名林檎,J-POP[1]ジャズ[1]ロック[1]オルタナティヴ・ロック[2],femaleソロ,1978
2015,槇原敬之,J-POP,maleソロ,1969
2015,氣志團,J-POP,グループ,1997
2015,水森かおり,演歌,femaleソロ,1973
2015,氷川きよし,演歌[7][8]J-POP[7][8]ロック[8],maleソロ,1977
2015,浜田ばみゅばみゅ,不明,maleソロ,
2015,石川さゆり,演歌・歌謡曲・J-POP,femaleソロ,1958
2015,福山雅治,J-POP,maleソロ,1969
2015,秦基博,J-POP,maleソロ,1980
2015,稲葉浩志,ロックハードロックフォークロックブルースロックJ-POP,maleソロ,1964
