year,program,artist,appearances,song,tags,type,origin,associated_acts
2015,NHK紅白歌合戦,AAA,6.0,恋音と雨空,"sillyname, j-pop",Group,Japan,
2015,NHK紅白歌合戦,AKB48,8.0,AKB48 紅白2015 SP 〜10周年記念メドレー〜[※ 13],"j-pop, c-pop",Group,Akihabara,秋元康（総合プロデューサー）AKB48グループ
2015,NHK紅白歌合戦,BUMP OF CHICKEN,1.0,ray[※ 15][※ 9],"j-pop, j-rock, anime",Group,,MOR （音楽プロデューサー）
2015,NHK紅白歌合戦,E-girls,3.0,Dance Dance Dance,j-pop,Group,New Jersey,
2015,NHK紅白歌合戦,EXILE,11.0,EXILE 紅白スペシャル2015[※ 14],"j-pop, j-r&b",Group,,
2015,NHK紅白歌合戦,MISIA,2.0,オルフェンズの涙[※ 20],"j-pop, contemporary r&b, likedis auto",femaleソロ,Tsushima,鷺巣詩郎黒田卓也エリカ・バドゥマーカス・ミラーなど
2015,NHK紅白歌合戦,NMB48,3.0,365日の紙飛行機,"c-pop, j-pop",Group,Namba,秋元康（プロデューサー）剱持嘉一AKB48グループ
2015,NHK紅白歌合戦,Perfume,8.0,Pick Me Up,"j-pop, shibuya-kei",Group,Minami-ku,中田ヤスタカMIKIKO
2015,NHK紅白歌合戦,SEKAI NO OWARI,2.0,プレゼント,"j-pop, anime",Group,Tokyo,CHRYSANTHEMUM BRIDGE小林武史
2015,NHK紅白歌合戦,SMAP,23.0,This is SMAP メドレー[※ 21],traditional music,Group,,
2015,NHK紅白歌合戦,Sexy Zone,3.0,ニッポン Cha-Cha-Cha チャンピオン,"rock, electronic, soundtrack, progressive rock, metal, japanese, orchestral, game, conductor, video game, new age, composer, neo-classical metal, symphonic rock, vgm, video game music, orchestral music, chiptune, modern classical, final fantasy, 16-bit, orchestral soundtrack, cinematic classical, sequencer & tracker, japanese classical, japanese vgm",maleソロ,Kōchi,
2015,NHK紅白歌合戦,Superfly,1.0,Beautiful,j-pop,Group,,蔦谷好位置多保孝一松岡モトキ
2015,NHK紅白歌合戦,TOKIO,22.0,AMBITIOUS JAPAN!,"j-pop, likedis auto",Group,,
2015,NHK紅白歌合戦,V6,2.0,ザッツ!V6メドレー[※ 16],pop punk,Group,,
2015,NHK紅白歌合戦,X JAPAN,6.0,紅白スペシャルメドレー 〜We are X !〜[※ 18],"visual kei, j-rock, j-pop",Group,Tateyama,津田直士
2015,NHK紅白歌合戦,miwa,3.0,fighting-φ-girls,"j-pop, anime",femaleソロ,Hayama,NAOKI-TQuatre-M
2015,NHK紅白歌合戦,μ's,1.0,それは僕たちの奇跡,spoken word,Group,,畑亜貴（作詞）
2015,NHK紅白歌合戦,いきものがかり,8.0,ありがとう,"j-pop, ikimono-gakari, pop rock",Group,Kanagawa,本間昭光亀田誠治島田昌典江口亮
2015,NHK紅白歌合戦,ゆず,6.0,かける,"j-pop, anime",Group,Yokohama,
2015,NHK紅白歌合戦,ゲスの極み乙女。,1.0,私以外私じゃないの,"japanese indie, j-rock, j-pop",Group,Tokyo,
2015,NHK紅白歌合戦,ゴールデンボンバー,4.0,女々しくて,visual kei,Group,,tatsuo（everset）
2015,NHK紅白歌合戦,レベッカ,1.0,フレンズ,"rock, electronic, soundtrack, progressive rock, metal, japanese, orchestral, game, conductor, video game, new age, composer, neo-classical metal, symphonic rock, vgm, video game music, orchestral music, chiptune, modern classical, final fantasy, 16-bit, orchestral soundtrack, cinematic classical, sequencer & tracker, japanese classical, japanese vgm",maleソロ,Kōchi,
2015,NHK紅白歌合戦,三代目 J Soul Brothers,4.0,Summer Madness,"j-pop, dance-pop",Group,Japan,HIRO
2015,NHK紅白歌合戦,三山ひろし,1.0,お岩木山,"enka, kayokyoku",maleソロ,Nankoku,
2015,NHK紅白歌合戦,乃木坂46,1.0,君の名は希望,kayokyoku,Group,Minato,Sony Music Entertainment秋元康
2015,NHK紅白歌合戦,五木ひろし,45.0,千曲川,"enka, kayokyoku",maleソロ,Kyoto,
2015,NHK紅白歌合戦,今井美樹,2.0,PIECE OF MY WISH,"kayokyoku, city pop, j-pop, enka",femaleソロ,Takanabe,布袋寅泰
2015,NHK紅白歌合戦,伍代夏子,22.0,東京五輪音頭,"enka, kayokyoku",femaleソロ,Shibuya,
2015,NHK紅白歌合戦,和田アキ子,39.0,笑って許して,"kayokyoku, enka, j-pop, city pop, j-r&b",femaleソロ,Ikuno-ku,
2015,NHK紅白歌合戦,坂本冬美,27.0,祝い酒,"enka, kayokyoku",femaleソロ,Kamitonda,
2015,NHK紅白歌合戦,大原櫻子,1.0,瞳,j-pop,femaleソロ,,亀田誠治小名川高弘
2015,NHK紅白歌合戦,天童よしみ,20.0,人生一路[※ 6],"enka, kayokyoku, japanese classical",femaleソロ,Tanabe,
2015,NHK紅白歌合戦,小林幸子,34.0,千本桜,"enka, kayokyoku",femaleソロ,Chūō-ku,
2015,NHK紅白歌合戦,山内惠介,1.0,スポットライト,"enka, likedis auto",maleソロ,Itoshima,
2015,NHK紅白歌合戦,島津亜矢,2.0,帰らんちゃよか,"enka, kayokyoku",femaleソロ,Kita-ku,
