year,program,artist,appearances,song,tags,type,origin,associated_acts
2015,NHK紅白歌合戦,AAA,6.0,恋音と雨空,J-POP,Group,Japan,
2015,NHK紅白歌合戦,AKB48,8.0,AKB48 紅白2015 SP 〜10周年記念メドレー〜[※ 13],"J-POP, アイドル",Group,Akihabara,秋元康（総合プロデューサー）AKB48グループ
2015,NHK紅白歌合戦,BUMP OF CHICKEN,1.0,ray[※ 15][※ 9],"J-POP, アニメ, ロック",Group,,MOR （音楽プロデューサー）
2015,NHK紅白歌合戦,E-girls,3.0,Dance Dance Dance,"J-POP, シンガーソングライター, ロック",Group,New Jersey,
2015,NHK紅白歌合戦,EXILE,11.0,EXILE 紅白スペシャル2015[※ 14],"J-POP, R&B, ダンス",Group,,
2015,NHK紅白歌合戦,MISIA,2.0,オルフェンズの涙[※ 20],"J-POP, R&B",femaleソロ,Tsushima,鷺巣詩郎黒田卓也エリカ・バドゥマーカス・ミラーなど
2015,NHK紅白歌合戦,NMB48,3.0,365日の紙飛行機,J-POP,Group,Namba,秋元康（プロデューサー）剱持嘉一AKB48グループ
2015,NHK紅白歌合戦,Perfume,8.0,Pick Me Up,"J-POP, ダンス",Group,Minami-ku,中田ヤスタカMIKIKO
2015,NHK紅白歌合戦,SEKAI NO OWARI,2.0,プレゼント,"J-POP, アニメ, ロック",Group,Tokyo,CHRYSANTHEMUM BRIDGE小林武史
2015,NHK紅白歌合戦,SMAP,23.0,This is SMAP メドレー[※ 21],"J-POP, バンド",Group,,
2015,NHK紅白歌合戦,Sexy Zone,3.0,ニッポン Cha-Cha-Cha チャンピオン,"J-POP, エレクトロニック, ロック",maleソロ,Kōchi,
2015,NHK紅白歌合戦,Superfly,1.0,Beautiful,"J-POP, ロック",Group,,蔦谷好位置多保孝一松岡モトキ
2015,NHK紅白歌合戦,TOKIO,22.0,AMBITIOUS JAPAN!,J-POP,Group,,
2015,NHK紅白歌合戦,V6,2.0,ザッツ!V6メドレー[※ 16],"J-POP, バンド, ロック",Group,,
2015,NHK紅白歌合戦,X JAPAN,6.0,紅白スペシャルメドレー 〜We are X !〜[※ 18],"J-POP, ロック",Group,Tateyama,津田直士
2015,NHK紅白歌合戦,miwa,3.0,fighting-φ-girls,"J-POP, アニメ, シンガーソングライター",femaleソロ,Hayama,NAOKI-TQuatre-M
2015,NHK紅白歌合戦,μ's,1.0,それは僕たちの奇跡,J-POP,Group,,畑亜貴（作詞）
2015,NHK紅白歌合戦,いきものがかり,8.0,ありがとう,"J-POP, ロック",Group,Kanagawa,本間昭光亀田誠治島田昌典江口亮
2015,NHK紅白歌合戦,ゆず,6.0,かける,"J-POP, アニメ, ロック",Group,Yokohama,
2015,NHK紅白歌合戦,ゲスの極み乙女。,1.0,私以外私じゃないの,"J-POP, ロック",Group,Tokyo,
2015,NHK紅白歌合戦,ゴールデンボンバー,4.0,女々しくて,"J-POP, ロック",Group,,tatsuo（everset）
2015,NHK紅白歌合戦,レベッカ,1.0,フレンズ,"エレクトロニック, ロック",maleソロ,Kōchi,
2015,NHK紅白歌合戦,三代目 J Soul Brothers,4.0,Summer Madness,"J-POP, ダンス",Group,Japan,HIRO
2015,NHK紅白歌合戦,三山ひろし,1.0,お岩木山,"歌謡曲, 演歌",maleソロ,Nankoku,
2015,NHK紅白歌合戦,乃木坂46,1.0,君の名は希望,"J-POP, アイドル, 歌謡曲",Group,Minato,Sony Music Entertainment秋元康
2015,NHK紅白歌合戦,五木ひろし,45.0,千曲川,"歌謡曲, 演歌",maleソロ,Kyoto,
2015,NHK紅白歌合戦,今井美樹,2.0,PIECE OF MY WISH,"J-POP, 歌謡曲, 演歌",femaleソロ,Takanabe,布袋寅泰
2015,NHK紅白歌合戦,伍代夏子,22.0,東京五輪音頭,"歌謡曲, 演歌",femaleソロ,Shibuya,
2015,NHK紅白歌合戦,和田アキ子,39.0,笑って許して,"J-POP, R&B, 歌謡曲, 演歌",femaleソロ,Ikuno-ku,
2015,NHK紅白歌合戦,坂本冬美,27.0,祝い酒,"J-POP, 歌謡曲, 演歌",femaleソロ,Kamitonda,
2015,NHK紅白歌合戦,大原櫻子,1.0,瞳,J-POP,femaleソロ,,亀田誠治小名川高弘
2015,NHK紅白歌合戦,天童よしみ,20.0,人生一路[※ 6],"歌謡曲, 演歌",femaleソロ,Tanabe,
2015,NHK紅白歌合戦,小林幸子,34.0,千本桜,"歌謡曲, 演歌",femaleソロ,Chūō-ku,
2015,NHK紅白歌合戦,山内惠介,1.0,スポットライト,演歌,maleソロ,Itoshima,
2015,NHK紅白歌合戦,島津亜矢,2.0,帰らんちゃよか,"J-POP, 歌謡曲, 演歌",femaleソロ,Kita-ku,
2015,NHK紅白歌合戦,嵐,7.0,New Year's Eve Medley 2015[※ 12],"J-POP, ダンス, バンド",Group,Honolulu,
2015,NHK紅白歌合戦,德永英明,10.0,時代,"J-POP, シンガーソングライター",maleソロ,Yanagawa,
2015,NHK紅白歌合戦,星野源,1.0,SUN,"J-POP, R&B, シンガーソングライター, ダンス",maleソロ,Saitama,"SAKEROCK（2000年 - 2015年）河村""カースケ""智康ハマ・オカモト長岡亮介ほか"
2015,NHK紅白歌合戦,松田聖子,19.0,赤いスイートピー,"J-POP, アイドル, ダンス, 歌謡曲, 演歌",femaleソロ,Kurume,"若松宗雄（1980年 - 1989年, 2000年 - 2003年）大村雅朗（1980年 - 1989年）[4]松本隆（1981年 - 1988年, 1999年, 2015年）小倉良（1992年 - 1998年, 2000年, 2002年, 2005年 - 2015年）原田真二（2000年 - 2004年）"
2015,NHK紅白歌合戦,森進一,48.0,おふくろさん,"J-POP, 演歌",maleソロ,Kōfu,
2015,NHK紅白歌合戦,椎名林檎,3.0,長く短い祭 〜ここは地獄か天国か篇〜[※ 11],"シンガーソングライター, ロック",femaleソロ,Fukuoka,東京事変亀田誠治斎藤ネコ井上雨迩中山信彦村田陽一児玉裕一
2015,NHK紅白歌合戦,水森かおり,13.0,大和路の恋,"歌謡曲, 演歌",femaleソロ,Kita,
2015,NHK紅白歌合戦,氷川きよし,16.0,男花,"J-POP, アニメ, 歌謡曲, 演歌",maleソロ,Minami-ku,
2015,NHK紅白歌合戦,石川さゆり,38.0,津軽海峡・冬景色,"J-POP, 歌謡曲, 演歌",femaleソロ,Kumamoto,
2015,NHK紅白歌合戦,福山雅治,8.0,デビュー25周年スペシャルメドレー[※ 7][※ 8][※ 9],"J-POP, シンガーソングライター, 歌謡曲",maleソロ,Nagasaki,井上鑑KOH+
2015,NHK紅白歌合戦,細川たかし,39.0,心のこり,"歌謡曲, 演歌",maleソロ,Makkari,三橋美智也
2015,NHK紅白歌合戦,美輪明宏,4.0,ヨイトマケの唄,"歌謡曲, 演歌",maleソロ,Nagasaki,
2015,NHK紅白歌合戦,藤あや子,21.0,曼珠沙華,"歌謡曲, 演歌",femaleソロ,Semboku,
2015,NHK紅白歌合戦,西野カナ,6.0,トリセツ,"J-POP, シンガーソングライター",femaleソロ,Matsusaka,GIORGIO 13 CANCEMIDJ Mass MAD Izm*山口隆志
2015,NHK紅白歌合戦,近藤真彦,10.0,ギンギラギンにさりげなく,,maleソロ,Nagoya,
