year,artist
2015,AAA
2015,AI
2015,AKB48
2015,BABYMETAL
2015,BREAKERZ
2015,BUMP OF CHICKEN
2015,BoA
2015,E-girls
2015,EXILE
2015,GENERATIONS
2015,GENERATIONS from EXILE TRIBE
2015,HKT48
2015,Hey! Say! JUMP
2015,JUJU
2015,KABA.ちゃん
2015,KANA-BOON
2015,KAT-TUN
2015,KinKi Kids
2015,Kis-My-Ft2
2015,L'Arc〜en〜Ciel
2015,MISIA
2015,Mr.Children
2015,NEWS
2015,NMB48
2015,Perfume
2015,SEKAI NO OWARI
2015,SMAP
2015,Sexy Zone
2015,Superfly
2015,TOKIO
2015,V6
2015,X JAPAN
2015,YUKI
2015,aiko
2015,back number
2015,miwa
2015,nan
2015,μ's
2015,いきものがかり
2015,きゃりーぱみゅぱみゅ
2015,ゆず
2015,クリス松村
2015,ゲスの極み乙女。
2015,コブクロ
2015,ゴールデンボンバー
2015,ジャニーズWEST
2015,タッキー&翼
2015,ナオト・インティライミ
2015,ポルノグラフィティ
2015,レベッカ
2015,三代目 J Soul Brothers
2015,三代目 J Soul Brothers from EXILE TRIBE
2015,三山ひろし
2015,乃木坂46
2015,五木ひろし
2015,今井美樹
2015,伍代夏子
2015,和田アキ子
2015,坂本冬美
2015,大原櫻子
2015,天童よしみ
2015,家入レオ
2015,小林幸子
2015,山内惠介
2015,山本彩
2015,島津亜矢
2015,嵐
2015,平井堅
2015,德永英明
2015,星野源
2015,松田聖子
2015,森進一
2015,椎名林檎
2015,槇原敬之
2015,氣志團
2015,水森かおり
2015,氷川きよし
2015,浜田ばみゅばみゅ
2015,石川さゆり
2015,福山雅治
2015,秦基博
2015,稲葉浩志
2015,細川たかし
2015,美輪明宏
2015,藤あや子
2015,西内まりや
2015,西野カナ
2015,近藤真彦
2015,郷ひろみ
2015,関ジャニ∞
2015,髙橋真梨子
2016,AAA
2016,AI
2016,AKB48
2016,DAIGO
2016,E-girls
2016,EXILE THE SECOND
2016,GENERATIONS
2016,GENERATIONS from EXILE TRIBE
2016,HKT48
2016,Hey! Say! JUMP
2016,JUJU
2016,JUJU×沢村一樹
2016,KinKi Kids
2016,Kis-My-Ft2
2016,L'Arc〜en〜Ciel
2016,NEWS
2016,NMB48
2016,PUFFY
2016,Perfume
2016,RADIO FISH
2016,RADWIMPS
2016,SEKAI NO OWARI
2016,SKE48
2016,Sexy Zone
2016,THE YELLOW MONKEY
2016,TOKIO
2016,V6
2016,X JAPAN
2016,aiko
2016,back number
2016,miwa
2016,nan
2016,いきものがかり
2016,きゃりーぱみゅぱみゅ
2016,ゆず
2016,コブクロ
2016,ゴールデンボンバー
2016,ジャニーズWEST
2016,スキマスイッチ×奥田民生
2016,スティング
2016,ピコ太郎
2016,ポルノグラフィティ
2016,三代目 J Soul Brothers
2016,三代目 J Soul Brothers from EXILE TRIBE
2016,三山ひろし
2016,上白石萌音
2016,乃木坂46
2016,五木ひろし
2016,坂本冬美
2016,大竹しのぶ
2016,大黒摩季
2016,天童よしみ
2016,宇多田ヒカル
2016,家入レオ
2016,小室哲哉+HYDE
2016,山内惠介
2016,島津亜矢
2016,嵐
2016,市川由紀乃
2016,平井堅
2016,星野源
2016,松下奈緒
2016,松田聖子
2016,桐谷健太
2016,桑田佳祐
2016,森山良子×森山直太朗
2016,椎名林檎
2016,欅坂46
2016,水森かおり
2016,氷川きよし
2016,渡辺直美
2016,石川さゆり
2016,福山雅治
2016,福田こうへい
2016,秦基博
2016,絢香
2016,藤原さくら
2016,西内まりや
2016,西野カナ
2016,郷ひろみ
2016,関ジャニ∞
2016,香西かおり
2016,髙橋真梨子
2016,［Alexandros］
2017,AI × 渡辺直美
2017,AI×渡辺直美
2017,AKB48
2017,BTS
2017,B’z
2017,DAOKO
2017,DEAN FUJIOKA
2017,E-girls
2017,EXILE THE SECOND
2017,GENERATIONS
2017,GENERATIONS from EXILE TRIBE
2017,HIKAKIN & SEIKIN
2017,Hey! Say! JUMP
2017,KinKi Kids
2017,Kis-My-Ft2
2017,LUNA SEA
2017,Little Glee Monster
2017,MIGHTY WARRIORS
2017,NEWS
2017,NGT48
2017,Perfume
