year,program,artist,appearances,song,tags,type,origin,associated_acts,members
2015,NHK紅白歌合戦,AAA,6.0,恋音と雨空,J-POP,Group,Japan,,
2015,NHK紅白歌合戦,AKB48,8.0,AKB48 紅白2015 SP 〜10周年記念メドレー〜[※ 13],J-POP,女性グループ,日本,"秋元康, （総合プロデューサー）, AKB48グループ","メンバー, を参照"
2015,NHK紅白歌合戦,BUMP OF CHICKEN,1.0,ray[※ 15][※ 9],音楽,Group,日本,"MOR （, 音楽プロデューサー, ）","藤原基央, （, ボーカル, ・, ギター, ）, 増川弘明, （ギター）, 直井由文, （, ベース, ）, 升秀夫, （, ドラムス, ）"
2015,NHK紅白歌合戦,E-girls,3.0,Dance Dance Dance,"J-POP, [, 1, ], EDM, [, 2, ]",Group,日本,,
2015,NHK紅白歌合戦,EXILE,11.0,EXILE 紅白スペシャル2015[※ 14],"J-POP, [, 1, ], ダンス・ポップ, [, 1, ], R&B, [, 1, ], ヒップホップ, [, 2, ]",Group,日本,,"EXILE HIRO, 松本利夫, EXILE ÜSA, EXILE MAKIDAI, EXILE ATSUSHI, EXILE AKIRA, EXILE TAKAHIRO, 橘ケンチ, EXILE TETSUYA, EXILE NESMITH, EXILE SHOKICHI, EXILE NAOTO, 小林直己, 白濱亜嵐, 世界, 佐藤大樹"
2015,NHK紅白歌合戦,MISIA,2.0,オルフェンズの涙[※ 20],"R&B, [, 1, ], J-POP, [, 1, ], ソウル, [, 1, ], ジャズ",ソロ,日本,"鷺巣詩郎, 黒田卓也, エリカ・バドゥ, マーカス・ミラー, など",
2015,NHK紅白歌合戦,NMB48,3.0,365日の紙飛行機,J-POP,女性グループ,日本,"秋元康, （プロデューサー）, 剱持嘉一, AKB48グループ","メンバー, を参照"
2015,NHK紅白歌合戦,Perfume,8.0,Pick Me Up,音楽,Group,日本,"中田ヤスタカ, MIKIKO","樫野有香, （かしゆか）, 西脇綾香, （あ〜ちゃん）, 大本彩乃, （のっち）"
2015,NHK紅白歌合戦,SEKAI NO OWARI,2.0,プレゼント,音楽,Group,日本,"CHRYSANTHEMUM BRIDGE, 小林武史","Nakajin, （, ギター, ）, Fukase, （, ボーカル, ）, Saori, （, ピアノ, ）, DJ LOVE, （, DJ, ）"
2015,NHK紅白歌合戦,SMAP,23.0,This is SMAP メドレー[※ 21],"J-POP, [, 1, ], [, 2, ], ハウス, [, 3, ], ニュー・ジャック・スウィング, [, 3, ]",Group,日本,,
2015,NHK紅白歌合戦,Sexy Zone,3.0,ニッポン Cha-Cha-Cha チャンピオン,J-POP,男性グループ,日本,,"佐藤勝利, 菊池風磨, 松島聡, 寺西拓人, 原嘉孝, 橋本将生, 猪俣周杜, 篠塚大輝"
2015,NHK紅白歌合戦,Superfly,1.0,Beautiful,"J-POP, [, 1, ], ロック, [, 2, ]",Group,日本,"蔦谷好位置, 多保孝一, 松岡モトキ","越智志帆, （, ボーカル, ）"
