artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances
10-FEET,2,56.0,0
A.B.C-Z,5,41.0,0
AAA,3,16.0,0
AI,12,54.0,0
AKB48,19,59.0,0
Ado,3,13.0,0
Aimer,2,67.0,0
Aqours,1,49.0,0
Awesome City Club,2,50.0,0
Awich,1,63.0,0
Aぇ! group,1,36.0,0
B'z,3,20.0,0
BABYMETAL,4,71.0,0
BARBEE BOYS,1,45.0,0
BE:FIRST,8,71.0,0
BLOOM VASE,1,48.0,0
BLUE ENCOUNT,1,54.0,0
BOYNEXTDOOR,1,72.0,0
BREAKERZ,1,33.0,0
BTS,2,44.0,0
BUMP OF CHICKEN,2,64.0,0
BiSH,4,14.0,0
BoA,2,57.0,0
Boyz II Men,1,71.0,0
B’z,1,20.0,0
B小町,1,51.0,0
CANDY TUNE,1,58.0,0
CHEMISTRY,3,51.0,0
CUTIE STREET,1,62.0,0
Creepy Nuts,4,74.0,0
DA PUMP,12,49.0,0
DAIGO,1,54.0,0
DAOKO,2,57.0,0
DEAN FUJIOKA,4,42.0,0
DISH//,6,14.0,0
Da-iCE,5,66.0,0
Def Tech,1,52.0,0
E-girls,13,48.0,0
EXILE,11,62.0,0
EXILE ATSUSHI,1,47.0,0
EXILE THE SECOND,4,34.0,0
EXIT,1,42.0,0
FANTASTICS,1,53.0,0
FANTASTICS from EXILE TRIBE,1,53.0,0
FRUITS ZIPPER,1,64.0,0
Foorin,6,36.0,0
GENERATIONS,13,53.0,0
GENERATIONS from EXILE TRIBE,8,53.0,0
GLAY,2,59.0,0
GReeeeN,1,64.0,0
HKT48,2,37.0,0
HY,2,57.0,0
Hey! Say! JUMP,20,59.0,0
Hey!Say!JUMP,1,59.0,0
ILLIT,3,78.0,0
IMP.,2,31.0,0
INI,1,24.0,0
IVE,1,44.0,0
IZ*ONE,1,61.0,0
J-FRIENDS,1,56.0,0
JO1,4,7.0,0
JUJU,7,56.0,0
Jr.EXILE,1,27.0,0
KABA.ちゃん,1,0.0,0
KANA-BOON,1,63.0,0
KARA,2,2.0,0
KAT-TUN,13,31.0,0
