year,program,artist
2015,NHK紅白歌合戦,郷ひろみ
2015,NHK紅白歌合戦,大原櫻子
2015,NHK紅白歌合戦,Sexy Zone[※ 1]
2015,NHK紅白歌合戦,伍代夏子
2015,NHK紅白歌合戦,乃木坂46
2015,NHK紅白歌合戦,三山ひろし
2015,NHK紅白歌合戦,E-girls
2015,NHK紅白歌合戦,SEKAI NO OWARI
2015,NHK紅白歌合戦,坂本冬美
2015,NHK紅白歌合戦,德永英明
2015,NHK紅白歌合戦,nan
2015,NHK紅白歌合戦,μ's
2015,NHK紅白歌合戦,山内惠介
2015,NHK紅白歌合戦,AAA
2015,NHK紅白歌合戦,星野源
2015,NHK紅白歌合戦,島津亜矢
2015,NHK紅白歌合戦,ゲスの極み乙女。
2015,NHK紅白歌合戦,藤あや子
2015,NHK紅白歌合戦,ゆず
2015,NHK紅白歌合戦,miwa
2015,NHK紅白歌合戦,氷川きよし
2015,NHK紅白歌合戦,細川たかし
2015,NHK紅白歌合戦,和田アキ子
2015,NHK紅白歌合戦,関ジャニ∞[※ 5]
2015,NHK紅白歌合戦,天童よしみ
2015,NHK紅白歌合戦,NMB48
2015,NHK紅白歌合戦,三代目 J Soul Brothers
2015,NHK紅白歌合戦,福山雅治
2015,NHK紅白歌合戦,水森かおり
2015,NHK紅白歌合戦,いきものがかり
2015,NHK紅白歌合戦,nan
2015,NHK紅白歌合戦,TOKIO
2015,NHK紅白歌合戦,椎名林檎
2015,NHK紅白歌合戦,嵐
2015,NHK紅白歌合戦,AKB48
2015,NHK紅白歌合戦,EXILE
2015,NHK紅白歌合戦,nan
2015,NHK紅白歌合戦,Superfly
2015,NHK紅白歌合戦,ゴールデンボンバー
2015,NHK紅白歌合戦,西野カナ
2015,NHK紅白歌合戦,BUMP OF CHICKEN
2015,NHK紅白歌合戦,石川さゆり
2015,NHK紅白歌合戦,五木ひろし
2015,NHK紅白歌合戦,V6
2015,NHK紅白歌合戦,Perfume
2015,NHK紅白歌合戦,小林幸子
2015,NHK紅白歌合戦,X JAPAN
2015,NHK紅白歌合戦,MISIA
2015,NHK紅白歌合戦,美輪明宏
2015,NHK紅白歌合戦,レベッカ
2015,NHK紅白歌合戦,今井美樹
2015,NHK紅白歌合戦,SMAP
2015,NHK紅白歌合戦,森進一
2015,NHK紅白歌合戦,髙橋真梨子
2015,NHK紅白歌合戦,近藤真彦
2015,NHK紅白歌合戦,松田聖子
2016,NHK紅白歌合戦,関ジャニ∞[※ 1]
2016,NHK紅白歌合戦,PUFFY
2016,NHK紅白歌合戦,AAA
2016,NHK紅白歌合戦,E-girls
2016,NHK紅白歌合戦,欅坂46[※ 3]
2016,NHK紅白歌合戦,三山ひろし
2016,NHK紅白歌合戦,山内惠介
2016,NHK紅白歌合戦,miwa
2016,NHK紅白歌合戦,Sexy Zone[※ 4]
2016,NHK紅白歌合戦,天童よしみ
2016,NHK紅白歌合戦,SEKAI NO OWARI
2016,NHK紅白歌合戦,市川由紀乃
2016,NHK紅白歌合戦,三代目 J Soul Brothers
2016,NHK紅白歌合戦,香西かおり
2016,NHK紅白歌合戦,椎名林檎
2016,NHK紅白歌合戦,福田こうへい
2016,NHK紅白歌合戦,絢香
2016,NHK紅白歌合戦,郷ひろみ
2016,NHK紅白歌合戦,V6
2016,NHK紅白歌合戦,水森かおり
2016,NHK紅白歌合戦,いきものがかり
2016,NHK紅白歌合戦,ゆず
2016,NHK紅白歌合戦,渡辺直美
2016,NHK紅白歌合戦,ピコ太郎
2016,NHK紅白歌合戦,RADWIMPS
2016,NHK紅白歌合戦,乃木坂46
2016,NHK紅白歌合戦,福山雅治
2016,NHK紅白歌合戦,島津亜矢
2016,NHK紅白歌合戦,RADIO FISH
2016,NHK紅白歌合戦,西野カナ
2016,NHK紅白歌合戦,桐谷健太
2016,NHK紅白歌合戦,AI
2016,NHK紅白歌合戦,AKB48
2016,NHK紅白歌合戦,五木ひろし
2016,NHK紅白歌合戦,nan
2016,NHK紅白歌合戦,KinKi Kids
2016,NHK紅白歌合戦,Perfume
2016,NHK紅白歌合戦,星野源
2016,NHK紅白歌合戦,大竹しのぶ
2016,NHK紅白歌合戦,坂本冬美
2016,NHK紅白歌合戦,TOKIO[※ 7]
2016,NHK紅白歌合戦,松田聖子
2016,NHK紅白歌合戦,X JAPAN
2016,NHK紅白歌合戦,髙橋真梨子
2016,NHK紅白歌合戦,THE YELLOW MONKEY
2016,NHK紅白歌合戦,氷川きよし
2016,NHK紅白歌合戦,宇多田ヒカル
2016,NHK紅白歌合戦,石川さゆり
2016,NHK紅白歌合戦,嵐
2017,NHK紅白歌合戦,Hey! Say! JUMP
2017,NHK紅白歌合戦,Little Glee Monster
2017,NHK紅白歌合戦,山内惠介
2017,NHK紅白歌合戦,E-girls
2017,NHK紅白歌合戦,SHISHAMO
2017,NHK紅白歌合戦,三山ひろし
2017,NHK紅白歌合戦,AI × 渡辺直美[※ 6]
2017,NHK紅白歌合戦,竹原ピストル
2017,NHK紅白歌合戦,丘みどり
2017,NHK紅白歌合戦,Sexy Zone[※ 7]
2017,NHK紅白歌合戦,市川由紀乃
2017,NHK紅白歌合戦,福田こうへい
2017,NHK紅白歌合戦,三代目 J Soul Brothers
2017,NHK紅白歌合戦,天童よしみ
2017,NHK紅白歌合戦,SEKAI NO OWARI
2017,NHK紅白歌合戦,倉木麻衣
2017,NHK紅白歌合戦,TWICE
2017,NHK紅白歌合戦,三浦大知
2017,NHK紅白歌合戦,水森かおり
2017,NHK紅白歌合戦,WANIMA
2017,NHK紅白歌合戦,島津亜矢
2017,NHK紅白歌合戦,郷ひろみ
2017,NHK紅白歌合戦,欅坂46[※ 10]
2017,NHK紅白歌合戦,関ジャニ∞[※ 11]
2017,NHK紅白歌合戦,福山雅治[※ 12]
2017,NHK紅白歌合戦,坂本冬美
2017,NHK紅白歌合戦,西野カナ
2017,NHK紅白歌合戦,TOKIO
2017,NHK紅白歌合戦,五木ひろし
2017,NHK紅白歌合戦,乃木坂46
2017,NHK紅白歌合戦,nan
2017,NHK紅白歌合戦,松田聖子
2017,NHK紅白歌合戦,平井堅
2017,NHK紅白歌合戦,椎名林檎
2017,NHK紅白歌合戦,トータス松本
2017,NHK紅白歌合戦,Perfume[※ 15]
2017,NHK紅白歌合戦,X JAPAN
2017,NHK紅白歌合戦,AKB48
2017,NHK紅白歌合戦,エレファントカシマシ
2017,NHK紅白歌合戦,松たか子
2017,NHK紅白歌合戦,星野源
2017,NHK紅白歌合戦,Superfly
2017,NHK紅白歌合戦,嵐
2017,NHK紅白歌合戦,髙橋真梨子
2017,NHK紅白歌合戦,氷川きよし
2017,NHK紅白歌合戦,安室奈美恵
2017,NHK紅白歌合戦,桑田佳祐[※ 19]
2017,NHK紅白歌合戦,石川さゆり[※ 20]
2017,NHK紅白歌合戦,ゆず
2018,NHK紅白歌合戦,三代目 J Soul Brothers
2018,NHK紅白歌合戦,坂本冬美
2018,NHK紅白歌合戦,郷ひろみ
2018,NHK紅白歌合戦,Little Glee Monster
2018,NHK紅白歌合戦,山内惠介
2018,NHK紅白歌合戦,DAOKO
2018,NHK紅白歌合戦,nan
2018,NHK紅白歌合戦,Hey! Say! JUMP
2018,NHK紅白歌合戦,丘みどり
2018,NHK紅白歌合戦,天童よしみ
2018,NHK紅白歌合戦,Suchmos
2018,NHK紅白歌合戦,純烈
2018,NHK紅白歌合戦,あいみょん
2018,NHK紅白歌合戦,水森かおり
2018,NHK紅白歌合戦,Sexy Zone[• 3]
2018,NHK紅白歌合戦,刀剣男士
2018,NHK紅白歌合戦,Aqours
2018,NHK紅白歌合戦,YOSHIKI feat. HYDE
2018,NHK紅白歌合戦,YOSHIKI feat. サラ・ブライトマン
2018,NHK紅白歌合戦,島津亜矢
2018,NHK紅白歌合戦,五木ひろし
2018,NHK紅白歌合戦,DA PUMP
2018,NHK紅白歌合戦,いきものがかり
2018,NHK紅白歌合戦,AKB48[• 8]
2018,NHK紅白歌合戦,福山雅治
2018,NHK紅白歌合戦,King & Prince[• 11]
2018,NHK紅白歌合戦,Perfume
2018,NHK紅白歌合戦,関ジャニ∞
2018,NHK紅白歌合戦,欅坂46
2018,NHK紅白歌合戦,三山ひろし
2018,NHK紅白歌合戦,西野カナ
2018,NHK紅白歌合戦,SEKAI NO OWARI
2018,NHK紅白歌合戦,乃木坂46
2018,NHK紅白歌合戦,北島兄弟
2018,NHK紅白歌合戦,北島三郎
2018,NHK紅白歌合戦,TWICE
2018,NHK紅白歌合戦,EXILE
2018,NHK紅白歌合戦,Superfly
2018,NHK紅白歌合戦,三浦大知
2018,NHK紅白歌合戦,aiko
2018,NHK紅白歌合戦,松田聖子
2018,NHK紅白歌合戦,氷川きよし
2018,NHK紅白歌合戦,椎名林檎
2018,NHK紅白歌合戦,宮本浩次
2018,NHK紅白歌合戦,松任谷由実
2018,NHK紅白歌合戦,星野源
2018,NHK紅白歌合戦,米津玄師
2018,NHK紅白歌合戦,MISIA
2018,NHK紅白歌合戦,ゆず
2018,NHK紅白歌合戦,石川さゆり
2018,NHK紅白歌合戦,嵐
2018,NHK紅白歌合戦,サザンオールスターズ
2018,NHK紅白歌合戦,サザンオールスターズ
2019,NHK紅白歌合戦,Foorin
2019,NHK紅白歌合戦,郷ひろみ
2019,NHK紅白歌合戦,aiko
2019,NHK紅白歌合戦,GENERATIONS
2019,NHK紅白歌合戦,日向坂46
2019,NHK紅白歌合戦,純烈
2019,NHK紅白歌合戦,ジャニーズJr.
2019,NHK紅白歌合戦,Hey! Say! JUMP
2019,NHK紅白歌合戦,島津亜矢
2019,NHK紅白歌合戦,中元みずき
2019,NHK紅白歌合戦,ダイアモンド☆ユカイ
2019,NHK紅白歌合戦,中村倫也&木下晴香
2019,NHK紅白歌合戦,おしりたんてい
2019,NHK紅白歌合戦,Kis-My-Ft2
2019,NHK紅白歌合戦,天童よしみ
2019,NHK紅白歌合戦,AKB48
2019,NHK紅白歌合戦,山内惠介
2019,NHK紅白歌合戦,三浦大知
2019,NHK紅白歌合戦,LiSA
2019,NHK紅白歌合戦,坂本冬美
2019,NHK紅白歌合戦,King Gnu
2019,NHK紅白歌合戦,丘みどり
2019,NHK紅白歌合戦,福山雅治[• 4]
2019,NHK紅白歌合戦,TWICE
2019,NHK紅白歌合戦,五木ひろし
2019,NHK紅白歌合戦,Little Glee Monster
2019,NHK紅白歌合戦,DA PUMP
2019,NHK紅白歌合戦,Official髭男dism
