year,program,artist,appearances,song
2015,NHK紅白歌合戦,郷ひろみ,28,2億4千万の瞳-エキゾチック・ジャパン-
2015,NHK紅白歌合戦,大原櫻子,1,瞳
2015,NHK紅白歌合戦,Sexy Zone[※ 1],3,ニッポン Cha-Cha-Cha チャンピオン
2015,NHK紅白歌合戦,伍代夏子,22,東京五輪音頭
2015,NHK紅白歌合戦,乃木坂46,1,君の名は希望
2015,NHK紅白歌合戦,三山ひろし,1,お岩木山
2015,NHK紅白歌合戦,E-girls,3,Dance Dance Dance
2015,NHK紅白歌合戦,SEKAI NO OWARI,2,プレゼント
2015,NHK紅白歌合戦,坂本冬美,27,祝い酒
2015,NHK紅白歌合戦,德永英明,10,時代
2015,NHK紅白歌合戦,nan,0,アニメ紅白[※ 4]
2015,NHK紅白歌合戦,μ's,1,それは僕たちの奇跡
2015,NHK紅白歌合戦,山内惠介,1,スポットライト
2015,NHK紅白歌合戦,AAA,6,恋音と雨空
2015,NHK紅白歌合戦,星野源,1,SUN
2015,NHK紅白歌合戦,島津亜矢,2,帰らんちゃよか
2015,NHK紅白歌合戦,ゲスの極み乙女。,1,私以外私じゃないの
2015,NHK紅白歌合戦,藤あや子,21,曼珠沙華
2015,NHK紅白歌合戦,ゆず,6,かける
2015,NHK紅白歌合戦,miwa,3,fighting-φ-girls
2015,NHK紅白歌合戦,氷川きよし,16,男花
2015,NHK紅白歌合戦,細川たかし,39,心のこり
2015,NHK紅白歌合戦,和田アキ子,39,笑って許して
2015,NHK紅白歌合戦,関ジャニ∞[※ 5],4,前向きスクリーム!
2015,NHK紅白歌合戦,天童よしみ,20,人生一路[※ 6]
2015,NHK紅白歌合戦,NMB48,3,365日の紙飛行機
2015,NHK紅白歌合戦,三代目 J Soul Brothers,4,Summer Madness
2015,NHK紅白歌合戦,福山雅治,8,デビュー25周年スペシャルメドレー[※ 7][※ 8][※ 9]
2015,NHK紅白歌合戦,水森かおり,13,大和路の恋
2015,NHK紅白歌合戦,いきものがかり,8,ありがとう
2015,NHK紅白歌合戦,nan,0,ザッツ・SHOWTIME〜星に願いを〜[25][※ 10]
2015,NHK紅白歌合戦,TOKIO,22,AMBITIOUS JAPAN!
2015,NHK紅白歌合戦,椎名林檎,3,長く短い祭 〜ここは地獄か天国か篇〜[※ 11]
2015,NHK紅白歌合戦,嵐,7,New Year's Eve Medley 2015[※ 12]
2015,NHK紅白歌合戦,AKB48,8,AKB48 紅白2015 SP 〜10周年記念メドレー〜[※ 13]
2015,NHK紅白歌合戦,EXILE,11,EXILE 紅白スペシャル2015[※ 14]
2015,NHK紅白歌合戦,nan,0,花は咲く
2015,NHK紅白歌合戦,Superfly,1,Beautiful
2015,NHK紅白歌合戦,ゴールデンボンバー,4,女々しくて
2015,NHK紅白歌合戦,西野カナ,6,トリセツ
2015,NHK紅白歌合戦,BUMP OF CHICKEN,1,ray[※ 15][※ 9]
2015,NHK紅白歌合戦,石川さゆり,38,津軽海峡・冬景色
2015,NHK紅白歌合戦,五木ひろし,45,千曲川
2015,NHK紅白歌合戦,V6,2,ザッツ!V6メドレー[※ 16]
2015,NHK紅白歌合戦,Perfume,8,Pick Me Up
2015,NHK紅白歌合戦,小林幸子,34,千本桜
2015,NHK紅白歌合戦,X JAPAN,6,紅白スペシャルメドレー 〜We are X !〜[※ 18]
2015,NHK紅白歌合戦,MISIA,2,オルフェンズの涙[※ 20]
2015,NHK紅白歌合戦,美輪明宏,4,ヨイトマケの唄
2015,NHK紅白歌合戦,レベッカ,1,フレンズ
2015,NHK紅白歌合戦,今井美樹,2,PIECE OF MY WISH
2015,NHK紅白歌合戦,SMAP,23,This is SMAP メドレー[※ 21]
2015,NHK紅白歌合戦,森進一,48,おふくろさん
2015,NHK紅白歌合戦,髙橋真梨子,3,五番街のマリーへ2015[※ 22]
2015,NHK紅白歌合戦,近藤真彦,10,ギンギラギンにさりげなく
2015,NHK紅白歌合戦,松田聖子,19,赤いスイートピー
2016,NHK紅白歌合戦,関ジャニ∞[※ 1],5,ズッコケ男道〜紅白で夢を歌おう〜
2016,NHK紅白歌合戦,PUFFY,1,PUFFY 20周年紅白スペシャル[※ 2]
2016,NHK紅白歌合戦,AAA,7,ハリケーン・リリ、ボストン・マリ
2016,NHK紅白歌合戦,E-girls,4,DANCE WITH ME NOW!
2016,NHK紅白歌合戦,欅坂46[※ 3],1,サイレントマジョリティー
2016,NHK紅白歌合戦,三山ひろし,2,四万十川〜けん玉大使編〜
2016,NHK紅白歌合戦,山内惠介,2,流転の波止場〜究極の貴公子編〜
2016,NHK紅白歌合戦,miwa,4,結 -ゆい-
2016,NHK紅白歌合戦,Sexy Zone[※ 4],4,よびすて 紅白'16
2016,NHK紅白歌合戦,天童よしみ,21,あんたの花道
2016,NHK紅白歌合戦,SEKAI NO OWARI,3,Hey Ho from RPG[※ 6]
2016,NHK紅白歌合戦,市川由紀乃,1,心かさねて
2016,NHK紅白歌合戦,三代目 J Soul Brothers,5,Welcome to TOKYO
2016,NHK紅白歌合戦,香西かおり,19,すき〜真田丸スペシャルVer.〜
2016,NHK紅白歌合戦,椎名林檎,4,青春の瞬き -FROM NEO TOKYO 2016-[※ 7]
2016,NHK紅白歌合戦,福田こうへい,3,東京五輪音頭
2016,NHK紅白歌合戦,絢香,8,三日月
2016,NHK紅白歌合戦,郷ひろみ,29,言えないよ
2016,NHK紅白歌合戦,V6,3,Smile! メドレー[※ 8]
2016,NHK紅白歌合戦,水森かおり,14,越後水原〜白鳥飛翔〜
2016,NHK紅白歌合戦,いきものがかり,9,SAKURA
2016,NHK紅白歌合戦,ゆず,7,見上げてごらん夜の星を 〜ぼくらのうた〜
2016,NHK紅白歌合戦,渡辺直美,0,Crazy in Love
2016,NHK紅白歌合戦,ピコ太郎,0,PPAP（ペンパイナッポーアッポーペン）
2016,NHK紅白歌合戦,RADWIMPS,1,前前前世 [original ver.]
2016,NHK紅白歌合戦,乃木坂46,2,サヨナラの意味
2016,NHK紅白歌合戦,福山雅治,9,2016スペシャルメドレー[※ 11]
2016,NHK紅白歌合戦,島津亜矢,3,川の流れのように
2016,NHK紅白歌合戦,RADIO FISH,1,PERFECT HUMAN
2016,NHK紅白歌合戦,西野カナ,7,Dear Bride
2016,NHK紅白歌合戦,桐谷健太,1,海の声〜みんなの海の声バージョン〜
2016,NHK紅白歌合戦,AI,2,みんながみんな英雄
2016,NHK紅白歌合戦,AKB48,9,夢の紅白選抜SPメドレー[※ 12]
2016,NHK紅白歌合戦,五木ひろし,46,九頭竜川
2016,NHK紅白歌合戦,nan,0,ふるさと
2016,NHK紅白歌合戦,KinKi Kids,1,硝子の少年
2016,NHK紅白歌合戦,Perfume,9,FLASH
2016,NHK紅白歌合戦,星野源,2,恋
2016,NHK紅白歌合戦,大竹しのぶ,1,愛の讃歌
2016,NHK紅白歌合戦,坂本冬美,28,夜桜お七
2016,NHK紅白歌合戦,TOKIO[※ 7],23,宙船（そらふね）
2016,NHK紅白歌合戦,松田聖子,20,薔薇のように咲いて 桜のように散って
2016,NHK紅白歌合戦,X JAPAN,7,紅
2016,NHK紅白歌合戦,髙橋真梨子,4,ごめんね…
2016,NHK紅白歌合戦,THE YELLOW MONKEY,1,JAM
2016,NHK紅白歌合戦,氷川きよし,17,白雲の城[※ 14]
2016,NHK紅白歌合戦,宇多田ヒカル,1,花束を君に [※ 15]
2016,NHK紅白歌合戦,石川さゆり,39,天城越え
2016,NHK紅白歌合戦,嵐,8,嵐×紅白スペシャルメドレー[※ 16]
2017,NHK紅白歌合戦,Hey! Say! JUMP,1,Come On A My House
2017,NHK紅白歌合戦,Little Glee Monster,1,好きだ。 〜夢を歌おう ver.〜[※ 5]
2017,NHK紅白歌合戦,山内惠介,3,愛が信じられないなら 〜貴公子たちの舞踏会〜
2017,NHK紅白歌合戦,E-girls,5,Love ☆ Queen
2017,NHK紅白歌合戦,SHISHAMO,1,明日も 〜紅白2017ver.〜
2017,NHK紅白歌合戦,三山ひろし,3,男の流儀 〜けん玉世界記録への道〜
2017,NHK紅白歌合戦,AI × 渡辺直美[※ 6],3,キラキラ feat.カンナ
2017,NHK紅白歌合戦,竹原ピストル,1,よー、そこの若いの
2017,NHK紅白歌合戦,丘みどり,1,佐渡の夕笛
2017,NHK紅白歌合戦,Sexy Zone[※ 7],5,ぎゅっと
2017,NHK紅白歌合戦,市川由紀乃,2,人生一路
2017,NHK紅白歌合戦,福田こうへい,4,王将
2017,NHK紅白歌合戦,三代目 J Soul Brothers,6,HAPPY 〜紅白スペシャルバージョン〜
2017,NHK紅白歌合戦,天童よしみ,22,道頓堀人情
2017,NHK紅白歌合戦,SEKAI NO OWARI,4,RAIN
2017,NHK紅白歌合戦,倉木麻衣,4,渡月橋 〜君 想ふ〜
2017,NHK紅白歌合戦,TWICE,1,TT -Japanese ver.-
2017,NHK紅白歌合戦,三浦大知,1,三浦大知 紅白スペシャル[※ 9]
2017,NHK紅白歌合戦,水森かおり,15,早鞆ノ瀬戸
2017,NHK紅白歌合戦,WANIMA,1,ともに
2017,NHK紅白歌合戦,島津亜矢,4,The Rose
2017,NHK紅白歌合戦,郷ひろみ,30,2億4千万の瞳 〜GO! GO! バブルリミックス〜
2017,NHK紅白歌合戦,欅坂46[※ 10],2,不協和音
2017,NHK紅白歌合戦,関ジャニ∞[※ 11],6,なぐりガキBEAT
2017,NHK紅白歌合戦,福山雅治[※ 12],10,トモエ学園
2017,NHK紅白歌合戦,坂本冬美,29,男の火祭り
2017,NHK紅白歌合戦,西野カナ,8,パッ
2017,NHK紅白歌合戦,TOKIO,24,AMBITIOUS JAPAN!
2017,NHK紅白歌合戦,五木ひろし,47,夜空
2017,NHK紅白歌合戦,乃木坂46,3,インフルエンサー
2017,NHK紅白歌合戦,nan,0,いつでも夢を
2017,NHK紅白歌合戦,松田聖子,21,新しい明日
2017,NHK紅白歌合戦,平井堅,8,ノンフィクション
2017,NHK紅白歌合戦,椎名林檎,5,目抜き通り
2017,NHK紅白歌合戦,トータス松本,1,目抜き通り
2017,NHK紅白歌合戦,Perfume[※ 15],10,TOKYO GIRL
2017,NHK紅白歌合戦,X JAPAN,8,ENDLESS RAIN 2017 紅白スペシャル[※ 16]
2017,NHK紅白歌合戦,AKB48,10,視聴者が選んだ夢の紅白SPメドレー[※ 17]
2017,NHK紅白歌合戦,エレファントカシマシ,1,今宵の月のように
2017,NHK紅白歌合戦,松たか子,3,明日はどこから
2017,NHK紅白歌合戦,星野源,3,Family Song
2017,NHK紅白歌合戦,Superfly,2,愛をこめて花束を
2017,NHK紅白歌合戦,嵐,9,嵐×紅白スペシャルメドレー[※ 18]
2017,NHK紅白歌合戦,髙橋真梨子,5,for you…
2017,NHK紅白歌合戦,氷川きよし,18,きよしのズンドコ節
2017,NHK紅白歌合戦,安室奈美恵,10,Hero
2017,NHK紅白歌合戦,桑田佳祐[※ 19],2,若い広場
2017,NHK紅白歌合戦,石川さゆり[※ 20],40,津軽海峡・冬景色
2017,NHK紅白歌合戦,ゆず,8,栄光の架橋
2018,NHK紅白歌合戦,三代目 J Soul Brothers,7,R.Y.U.S.E.I.
2018,NHK紅白歌合戦,坂本冬美,30,夜桜お七
2018,NHK紅白歌合戦,郷ひろみ,31,GOLDFINGER '99〜GO! GO! 2018〜
2018,NHK紅白歌合戦,Little Glee Monster,2,世界はあなたに笑いかけている
2018,NHK紅白歌合戦,山内惠介,4,さらせ冬の嵐〜刀剣男士コラボスペシャル〜
2018,NHK紅白歌合戦,DAOKO,1,打上花火
2018,NHK紅白歌合戦,nan,0,夢のキッズショー〜平成、その先へ〜[• 1]
2018,NHK紅白歌合戦,Hey! Say! JUMP,2,Ultra Music Power 〜Hey! Say! 紅白スペシャルver.〜
2018,NHK紅白歌合戦,丘みどり,2,鳰の湖
2018,NHK紅白歌合戦,天童よしみ,23,ソーラン祭り節2018〜どさんこver.〜
2018,NHK紅白歌合戦,Suchmos,1,VOLT-AGE
2018,NHK紅白歌合戦,純烈,1,プロポーズ
2018,NHK紅白歌合戦,あいみょん,1,マリーゴールド
2018,NHK紅白歌合戦,水森かおり,16,水に咲く花・支笏湖へ〜イリュージョンスペシャル〜
2018,NHK紅白歌合戦,Sexy Zone[• 3],6,カラクリだらけのテンダネス〜2018紅白ver.〜
2018,NHK紅白歌合戦,刀剣男士,1,刀剣乱舞 〜出陣! 紅白歌合戦〜
2018,NHK紅白歌合戦,Aqours,1,君のこころは輝いてるかい?
2018,NHK紅白歌合戦,YOSHIKI feat. HYDE,1,Red Swan
2018,NHK紅白歌合戦,YOSHIKI feat. サラ・ブライトマン,1,Miracle
2018,NHK紅白歌合戦,島津亜矢,5,時代
2018,NHK紅白歌合戦,五木ひろし,48,VIVA・LA・VIDA! 〜生きてるっていいね!〜
2018,NHK紅白歌合戦,DA PUMP,6,U.S.A.
2018,NHK紅白歌合戦,いきものがかり,10,じょいふる
2018,NHK紅白歌合戦,AKB48[• 8],11,恋するフォーチュンクッキー
2018,NHK紅白歌合戦,福山雅治,11,2018スペシャルメドレー[• 9][• 10]
2018,NHK紅白歌合戦,King & Prince[• 11],1,シンデレラガール
2018,NHK紅白歌合戦,Perfume,11,Future Pop 紅白SP[• 12][• 13]
2018,NHK紅白歌合戦,関ジャニ∞,7,ここに
2018,NHK紅白歌合戦,欅坂46,3,ガラスを割れ!
2018,NHK紅白歌合戦,三山ひろし,4,いごっそ魂〜けん玉世界記録への道、再び〜
2018,NHK紅白歌合戦,西野カナ,9,トリセツ
2018,NHK紅白歌合戦,SEKAI NO OWARI,5,サザンカ
2018,NHK紅白歌合戦,乃木坂46,4,帰り道は遠回りしたくなる
2018,NHK紅白歌合戦,北島兄弟,1,ブラザー
2018,NHK紅白歌合戦,北島三郎,51,まつり
2018,NHK紅白歌合戦,TWICE,2,紅白メドレー2018[• 14]
2018,NHK紅白歌合戦,EXILE,12,EXILE紅白スペシャル2018[• 15]
2018,NHK紅白歌合戦,Superfly,3,Gifts
2018,NHK紅白歌合戦,三浦大知,2,Be Myself 〜紅白スペシャル〜
2018,NHK紅白歌合戦,aiko,13,カブトムシ
2018,NHK紅白歌合戦,松田聖子,22,SEIKO DREAM MEDLEY 2018[• 16]
2018,NHK紅白歌合戦,氷川きよし,19,勝負の花道〜世界に響く和太鼓SP〜
2018,NHK紅白歌合戦,椎名林檎,6,獣ゆく細道
2018,NHK紅白歌合戦,宮本浩次,1,獣ゆく細道
2018,NHK紅白歌合戦,松任谷由実,3,私が好きなユーミンのうた〜紅白スペシャル〜[• 18]
2018,NHK紅白歌合戦,星野源,4,アイデア
2018,NHK紅白歌合戦,米津玄師,1,Lemon[• 19]
2018,NHK紅白歌合戦,MISIA,3,アイノカタチ 2018[• 21]
2018,NHK紅白歌合戦,ゆず,9,うたエール
2018,NHK紅白歌合戦,石川さゆり,41,天城越え
2018,NHK紅白歌合戦,嵐,10,嵐×紅白スペシャルメドレー[• 22]
2018,NHK紅白歌合戦,サザンオールスターズ,5,希望の轍
2018,NHK紅白歌合戦,サザンオールスターズ,5,勝手にシンドバッド
2019,NHK紅白歌合戦,Foorin,1,パプリカ -紅白スペシャルバージョン-
2019,NHK紅白歌合戦,郷ひろみ,32,"2億4千万の瞳 -エキゾチック""GO!GO!""ジャパン-"
2019,NHK紅白歌合戦,aiko,14,花火
2019,NHK紅白歌合戦,GENERATIONS,1,EXPerience Greatness
2019,NHK紅白歌合戦,日向坂46,1,キュン
2019,NHK紅白歌合戦,純烈,2,純烈のハッピーバースデー
2019,NHK紅白歌合戦,ジャニーズJr.,0,Let's Go to 2020 Tokyo
2019,NHK紅白歌合戦,Hey! Say! JUMP,3,上を向いて歩こう 〜令和スペシャルバージョン〜
2019,NHK紅白歌合戦,島津亜矢,6,糸
2019,NHK紅白歌合戦,中元みずき,0,イントゥ・ジ・アンノウン〜心のままに
2019,NHK紅白歌合戦,ダイアモンド☆ユカイ,0,君はともだち
2019,NHK紅白歌合戦,中村倫也&木下晴香,0,ホール・ニュー・ワールド
2019,NHK紅白歌合戦,おしりたんてい,0,ププッとフムッとかいけつダンス
2019,NHK紅白歌合戦,Kis-My-Ft2,1,Everybody Go
2019,NHK紅白歌合戦,天童よしみ,24,大阪恋時雨
2019,NHK紅白歌合戦,AKB48,12,恋するフォーチュンクッキー〜紅白世界選抜SP〜
2019,NHK紅白歌合戦,山内惠介,5,唇スカーレット
2019,NHK紅白歌合戦,三浦大知,3,Blizzard
2019,NHK紅白歌合戦,LiSA,1,紅蓮華
2019,NHK紅白歌合戦,坂本冬美,31,祝い酒 〜祝!令和バージョン〜
2019,NHK紅白歌合戦,King Gnu,1,白日
2019,NHK紅白歌合戦,丘みどり,3,紙の鶴
2019,NHK紅白歌合戦,福山雅治[• 4],12,デビュー30周年直前SPメドレー[• 5]
2019,NHK紅白歌合戦,TWICE,3,Let's Dance Medley 2019[• 6]
2019,NHK紅白歌合戦,五木ひろし,49,VIVA LA VIDA! 〜生きてるっていいね!〜
2019,NHK紅白歌合戦,Little Glee Monster,3,ECHO
2019,NHK紅白歌合戦,DA PUMP,7,DA PUMP 〜ONE TEAMメドレー〜[• 7]
2019,NHK紅白歌合戦,Official髭男dism,1,Pretender
2019,NHK紅白歌合戦,欅坂46[• 8][• 9],4,不協和音
2019,NHK紅白歌合戦,水森かおり,17,高遠 さくら路 〜イリュージョンスペシャル〜
2019,NHK紅白歌合戦,King & Prince[• 10],2,King & Prince 〜紅白スペシャルメドレー～[• 11]
2019,NHK紅白歌合戦,三山ひろし,5,望郷山河 〜第3回 けん玉世界記録への道〜
2019,NHK紅白歌合戦,YOSHIKI feat. KISS <YOSHIKISS>[• 13],0,Rock and Roll All Nite -YOSHIKISS version.-
2019,NHK紅白歌合戦,椎名林檎,7,人生は夢だらけ〜お願いガッテン篇〜[• 14]
2019,NHK紅白歌合戦,AI美空ひばり,0,あれから
2019,NHK紅白歌合戦,関ジャニ∞,8,関ジャニ∞ 前向きにきばってこーぜ!OSAKAメドレー[• 15]
2019,NHK紅白歌合戦,乃木坂46[• 16],5,シンクロニシティ
2019,NHK紅白歌合戦,星野源[• 17],5,Same Thing
2019,NHK紅白歌合戦,Perfume,12,FUSION -紅白Ver.-[• 18]
2019,NHK紅白歌合戦,ビートたけし,1,浅草キッド
2019,NHK紅白歌合戦,石川さゆり,42,津軽海峡・冬景色
2019,NHK紅白歌合戦,RADWIMPS[• 20],2,天気の子 紅白スペシャル[• 21]
2019,NHK紅白歌合戦,Superfly,4,フレア
2019,NHK紅白歌合戦,菅田将暉,1,まちがいさがし
2019,NHK紅白歌合戦,竹内まりや[• 23],1,いのちの歌
2019,NHK紅白歌合戦,いきものがかり,11,風が吹いている
