artist,predicted,probability
石川さゆり,1,1.0
水森かおり,1,1.0
乃木坂46,1,0.995
郷ひろみ,1,0.9925
三山ひろし,1,0.99
MISIA,1,0.99
天童よしみ,1,0.9866666666666667
坂本冬美,1,0.985
純烈,1,0.98
福山雅治,1,0.98
SixTONES,1,0.95
Snow Man,1,0.92
NiziU,1,0.8825
King & Prince,1,0.87
YOASOBI,1,0.81
緑黄色社会,1,0.8087659090359993
星野源,1,0.8087659090359993
山内惠介,1,0.8087659090359993
あいみょん,1,0.800701754385965
JO1,1,0.7735
milet,1,0.73
鈴木雅之,1,0.7240000000000001
NewJeans,1,0.7067348484848485
Official髭男dism,1,0.6712380952380951
ゆず,1,0.5971666666666667
BUMP OF CHICKEN,1,0.59
さだまさし,1,0.5681666666666666
SEVENTEEN,1,0.56
AI,1,0.56
櫻坂46,1,0.5456190476190477
Perfume,1,0.5116666666666666
