artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster,spotify_norm,youtube_norm,digital_popularity_score,quadrant,tv_appearances_jitter,kmeans_cluster
10-FEET,2,56.0,0.0,8.698473282442748,0,64.36781609195401,0.0,45.057471264367805,② デジタルネイティブ・スター,1.927705774562987,3
A.B.C-Z,5,41.0,0.0,23.133587786259543,0,47.12643678160919,0.0,32.98850574712643,① 総合スーパースター,4.909207021571048,0
AAA,3,16.0,0.0,17.34732824427481,1,18.39080459770115,0.0,12.873563218390803,④ その他,2.7297695760040934,1
AI,12,54.0,0.0,36.93511450381679,2,62.068965517241374,0.0,43.44827586206896,① 総合スーパースター,12.056470837277178,3
AI美空ひばり,1,0.0,0.0,5.3320610687022905,1,0.0,0.0,0.0,④ その他,0.8728706977097194,1
AKB48,19,59.0,0.0,53.32824427480916,2,67.81609195402298,0.0,47.47126436781608,① 総合スーパースター,19.09269637998122,3
Ado,3,13.0,0.0,18.606870229007637,1,14.942528735632184,0.0,10.459770114942527,④ その他,3.154894652478884,1
Aimer,2,67.0,0.0,11.198473282442748,0,77.01149425287356,0.0,53.90804597701149,② デジタルネイティブ・スター,2.026817108908357,2
Aqours,1,49.0,0.0,14.438931297709924,0,56.32183908045977,0.0,39.42528735632183,② デジタルネイティブ・スター,1.1529037397010344,3
Awesome City Club,2,50.0,0.0,7.706106870229007,0,57.47126436781609,0.0,40.22988505747126,② デジタルネイティブ・スター,2.080356818165956,3
Awich,1,63.0,0.0,20.16412213740458,0,72.41379310344827,0.0,50.68965517241379,② デジタルネイティブ・スター,1.0298406089339747,3
Aぇ! group,1,36.0,0.0,21.1412213740458,0,41.37931034482759,0.0,28.96551724137931,② デジタルネイティブ・スター,0.8197445995617265,0
B'z,3,20.0,0.0,16.171755725190838,1,22.988505747126435,0.0,16.091954022988503,④ その他,3.1172340370715994,0
B.B.クィーンズ,1,0.0,0.0,2.0763358778625958,1,0.0,0.0,0.0,④ その他,0.962249828929295,1
BABYMETAL,4,71.0,0.0,10.858778625954198,0,81.60919540229885,0.0,57.12643678160919,① 総合スーパースター,3.820829121537834,2
BARBEE BOYS,1,45.0,0.0,11.442748091603054,0,51.72413793103448,0.0,36.20689655172413,② デジタルネイティブ・スター,0.9799704311611691,3
BE:FIRST,8,71.0,0.0,14.83587786259542,0,81.60919540229885,0.0,57.12643678160919,① 総合スーパースター,7.955834989717066,2
BLOOM VASE,1,48.0,0.0,7.33587786259542,0,55.172413793103445,0.0,38.620689655172406,② デジタルネイティブ・スター,1.1488939940369083,3
BLUE ENCOUNT,1,54.0,0.0,23.97328244274809,0,62.068965517241374,0.0,43.44827586206896,② デジタルネイティブ・スター,1.0531521556302181,3
BOYNEXTDOOR,1,72.0,0.0,15.412213740458014,0,82.75862068965517,0.0,57.93103448275862,② デジタルネイティブ・スター,0.9731288461427267,2
BREAKERZ,1,33.0,0.0,26.18702290076336,0,37.93103448275862,0.0,26.551724137931032,② デジタルネイティブ・スター,0.9310231301089091,0
BTS,2,44.0,0.0,29.35496183206107,0,50.574712643678154,0.0,35.4022988505747,② デジタルネイティブ・スター,2.2207194555103094,3
BUMP OF CHICKEN,2,64.0,0.0,21.4618320610687,0,73.5632183908046,0.0,51.49425287356321,② デジタルネイティブ・スター,2.0234896065517507,3
BiSH,4,14.0,0.0,10.912213740458014,1,16.091954022988503,0.0,11.264367816091951,③ テレビ先行型スター,3.8628325738545075,1
BoA,2,57.0,0.0,15.709923664122137,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,1.9755886369083915,3
Boyz II Men,1,71.0,0.0,2.286259541984733,0,81.60919540229885,0.0,57.12643678160919,② デジタルネイティブ・スター,1.0133291646801426,2
B’z,1,20.0,0.0,11.057251908396946,1,22.988505747126435,0.0,16.091954022988503,④ その他,0.8868917086065319,0
B小町,1,51.0,0.0,2.732824427480916,0,58.62068965517241,0.0,41.03448275862068,② デジタルネイティブ・スター,1.1670221044244553,3
CANDY TUNE,1,58.0,0.0,8.320610687022901,0,66.66666666666666,0.0,46.66666666666666,② デジタルネイティブ・スター,0.8174147887116594,3
CHEMISTRY,3,51.0,0.0,56.44274809160305,0,58.62068965517241,0.0,41.03448275862068,② デジタルネイティブ・スター,3.127634427171926,3
CUTIE STREET,1,62.0,0.0,9.717557251908396,0,71.26436781609195,0.0,49.88505747126436,② デジタルネイティブ・スター,1.0238206330313036,3
Creepy Nuts,4,74.0,1.0,19.79770992366412,0,85.0574712643678,4.0,60.74022988505746,① 総合スーパースター,3.7479194884594516,2
DA PUMP,12,49.0,0.0,20.12213740458015,2,56.32183908045977,0.0,39.42528735632183,① 総合スーパースター,11.995735203152478,3
DAIGO,1,54.0,0.0,8.412213740458014,0,62.068965517241374,0.0,43.44827586206896,② デジタルネイティブ・スター,0.903705375443758,3
DAOKO,2,57.0,0.0,18.782442748091604,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,1.9793056335823578,3
DEAN FUJIOKA,4,42.0,0.0,10.3206106870229,0,48.275862068965516,0.0,33.79310344827586,① 総合スーパースター,3.8851689139472922,0
DISH//,6,14.0,2.0,23.01526717557252,1,16.091954022988503,8.0,13.664367816091952,③ テレビ先行型スター,5.866783735140089,0
DJ松永（Creepy Nuts）,1,0.0,0.0,0.0,1,0.0,0.0,0.0,④ その他,0.8167281344558118,1
Da-iCE,5,66.0,0.0,11.01526717557252,0,75.86206896551724,0.0,53.103448275862064,① 総合スーパースター,4.924881674052246,3
Da-iCE、ME:I,1,0.0,0.0,0.0,1,0.0,0.0,0.0,④ その他,0.8441310540502214,1
Def Tech,1,52.0,0.0,11.721374045801529,0,59.770114942528735,0.0,41.83908045977011,② デジタルネイティブ・スター,0.7801194255815711,3
E-girls,13,48.0,0.0,9.698473282442748,2,55.172413793103445,0.0,38.620689655172406,① 総合スーパースター,13.010982653158678,3
ELEVENPLAY,1,0.0,0.0,1.9274809160305344,1,0.0,0.0,0.0,④ その他,1.0176385978709224,1
EXILE,11,62.0,0.0,47.33969465648855,2,71.26436781609195,0.0,49.88505747126436,① 総合スーパースター,11.19488910806856,3
EXILE ATSUSHI,1,47.0,0.0,12.988549618320612,0,54.02298850574712,0.0,37.81609195402298,② デジタルネイティブ・スター,0.8241853673535602,3
EXILE THE SECOND,4,34.0,0.0,10.48091603053435,1,39.08045977011494,0.0,27.356321839080458,① 総合スーパースター,4.122218519573496,0
EXIT,1,42.0,0.0,21.057251908396942,0,48.275862068965516,0.0,33.79310344827586,② デジタルネイティブ・スター,0.9781967490221269,0
FANTASTICS,1,53.0,0.0,43.7824427480916,0,60.91954022988505,0.0,42.643678160919535,② デジタルネイティブ・スター,1.1507793529278998,3
FANTASTICS from EXILE TRIBE,1,53.0,0.0,31.935114503816795,0,60.91954022988505,0.0,42.643678160919535,② デジタルネイティブ・スター,1.033804829047277,3
FRUITS ZIPPER,1,64.0,0.0,17.740458015267176,0,73.5632183908046,0.0,51.49425287356321,② デジタルネイティブ・スター,1.0394661770643048,3
Foorin,6,36.0,0.0,6.599236641221374,1,41.37931034482759,0.0,28.96551724137931,① 総合スーパースター,5.813361321644941,0
GENERATIONS,13,53.0,0.0,33.221374045801525,2,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,13.00497446750073,3
GENERATIONS from EXILE TRIBE,8,53.0,0.0,40.61450381679389,2,60.91954022988505,0.0,42.643678160919535,① 総合スーパースター,7.898444485495082,3
GLAY,2,59.0,0.0,20.9618320610687,0,67.81609195402298,0.0,47.47126436781608,② デジタルネイティブ・スター,2.0848155444778778,3
GReeeeN,1,64.0,2.0,4.33587786259542,0,73.5632183908046,8.0,53.89425287356321,② デジタルネイティブ・スター,1.2587975140364482,2
HKT48,2,37.0,0.0,38.5,0,42.5287356321839,0.0,29.77011494252873,② デジタルネイティブ・スター,1.7187790406324728,0
HY,2,57.0,0.0,23.80534351145038,0,65.51724137931033,0.0,45.86206896551723,② デジタルネイティブ・スター,2.0991266213481956,3
